employee_id,attrition_flag,exit_date,exit_reason
E100096,No,,
E100097,No,,
E100098,No,,
E100099,No,,
E100100,No,,
E100101,No,,
E100102,No,,
E100103,No,,
E100104,Yes,2026-03-05,Better Pay
E100105,No,,
E100106,No,,
E100107,Yes,2022-09-28,Better Pay
E100108,No,,
E100109,No,,
E100110,No,,
E100111,No,,
E100112,Yes,2022-11-26,Better Pay
E100113,Yes,2025-01-18,Manager Issues
E100114,No,,
E100115,No,,
E100116,No,,
E100117,No,,
E100118,No,,
E100119,No,,
E100120,Yes,2018-03-31,Better Pay
E100121,No,,
E100122,Yes,2022-09-19,Better Pay
E100123,No,,
E100124,No,,
E100125,No,,
E100126,No,,
E100127,Yes,2025-05-05,Career Stagnation
E100128,Yes,2025-03-02,Better Pay
E100129,No,,
E100130,No,,
E100131,No,,
E100132,No,,
E100133,No,,
E100134,No,,
E100135,No,,
E100136,No,,
E100137,No,,
E100138,No,,
E100139,No,,
E100140,Yes,2022-04-14,Better Pay
E100141,No,,
E100142,No,,
E100143,No,,
E100144,No,,
E100145,No,,
E100146,No,,
E100147,No,,
E100148,Yes,2020-09-04,Career Stagnation
E100149,No,,
E100150,No,,
E100151,No,,
E100152,No,,
E100153,No,,
E100154,No,,
E100155,Yes,2022-02-27,Better Pay
E100156,No,,
E100157,No,,
E100158,No,,
E100159,No,,
E100160,No,,
E100161,No,,
E100162,Yes,2027-09-28,Better Pay
E100163,Yes,2026-12-02,Career Stagnation
E100164,No,,
E100165,No,,
E100166,No,,
E100167,No,,
E100168,No,,
E100169,No,,
E100170,No,,
E100171,No,,
E100172,No,,
E100173,No,,
E100174,No,,
E100175,No,,
E100176,No,,
E100177,Yes,2026-06-26,Manager Issues
E100178,Yes,2018-08-08,Manager Issues
E100179,No,,
E100180,Yes,2024-04-04,Work-Life Balance
E100181,No,,
E100182,No,,
E100183,No,,
E100184,No,,
E100185,No,,
E100186,Yes,2024-10-05,Manager Issues
E100187,No,,
E100188,No,,
E100189,No,,
E100190,Yes,2025-07-11,Better Pay
E100191,No,,
E100192,No,,
E100193,No,,
E100194,No,,
E100195,No,,
E100196,No,,
E100197,No,,
E100198,No,,
E100199,Yes,2023-02-02,Career Stagnation
E100200,No,,
E100201,No,,
E100202,No,,
E100203,No,,
E100204,Yes,2026-02-01,Manager Issues
E100205,No,,
E100206,Yes,2021-07-26,Work-Life Balance
E100207,No,,
E100208,Yes,2022-03-23,Manager Issues
E100209,No,,
E100210,No,,
E100211,No,,
E100212,Yes,2023-05-30,Career Stagnation
E100213,No,,
E100214,No,,
E100215,Yes,2017-09-03,Better Pay
E100216,Yes,2022-06-05,Better Pay
E100217,No,,
E100218,No,,
E100219,No,,
E100220,No,,
E100221,No,,
E100222,Yes,2023-03-12,Better Pay
E100223,Yes,2024-08-15,Work-Life Balance
E100224,No,,
E100225,No,,
E100226,Yes,2021-11-27,Career Stagnation
E100227,No,,
E100228,No,,
E100229,No,,
E100230,No,,
E100231,No,,
E100232,Yes,2019-07-05,Manager Issues
E100233,Yes,2022-01-23,Better Pay
E100234,No,,
E100235,No,,
E100236,No,,
E100237,No,,
E100238,No,,
E100239,No,,
E100240,No,,
E100241,No,,
E100242,No,,
E100243,No,,
E100244,No,,
E100245,No,,
E100246,No,,
E100247,Yes,2024-06-30,Career Stagnation
E100248,No,,
E100249,No,,
E100250,No,,
E100251,No,,
E100252,No,,
E100253,No,,
E100254,Yes,2025-02-09,Better Pay
E100255,No,,
E100256,No,,
E100257,No,,
E100258,No,,
E100259,No,,
E100260,No,,
E100261,No,,
E100262,Yes,2020-01-24,Better Pay
E100263,No,,
E100264,No,,
E100265,Yes,2025-01-22,Better Pay
E100266,Yes,2022-10-25,Work-Life Balance
E100267,Yes,2023-03-03,Better Pay
E100268,Yes,2023-11-22,Better Pay
E100269,No,,
E100270,No,,
E100271,Yes,2024-02-09,Better Pay
E100272,No,,
E100273,No,,
E100274,No,,
E100275,No,,
E100276,No,,
E100277,Yes,2023-04-27,Better Pay
E100278,Yes,2022-07-23,Better Pay
E100279,No,,
E100280,Yes,2021-02-18,Career Stagnation
E100281,No,,
E100282,No,,
E100283,No,,
E100284,Yes,2019-09-10,Work-Life Balance
E100285,No,,
E100286,Yes,2025-07-27,Career Stagnation
E100287,No,,
E100288,No,,
E100289,No,,
E100290,No,,
E100291,No,,
E100292,No,,
E100293,No,,
E100294,No,,
E100295,No,,
E100296,No,,
E100297,No,,
E100298,Yes,2020-12-13,Career Stagnation
E100299,No,,
E100300,No,,
E100301,No,,
E100302,No,,
E100303,No,,
E100304,No,,
E100305,No,,
E100306,No,,
E100307,No,,
E100308,No,,
E100309,No,,
E100310,No,,
E100311,No,,
E100312,No,,
E100313,No,,
E100314,No,,
E100315,Yes,2022-11-27,Better Pay
E100316,Yes,2021-02-24,Better Pay
E100317,No,,
E100318,No,,
E100319,No,,
E100320,Yes,2025-04-09,Better Pay
E100321,No,,
E100322,No,,
E100323,No,,
E100324,Yes,2025-02-26,Manager Issues
E100325,Yes,2023-12-05,Better Pay
E100326,Yes,2024-06-28,Career Stagnation
E100327,No,,
E100328,Yes,2025-01-13,Career Stagnation
E100329,No,,
E100330,Yes,2026-04-06,Manager Issues
E100331,No,,
E100332,No,,
E100333,No,,
E100334,No,,
E100335,No,,
E100336,No,,
E100337,No,,
E100338,No,,
E100339,Yes,2021-04-07,Work-Life Balance
E100340,Yes,2021-08-14,Career Stagnation
E100341,Yes,2021-11-09,Better Pay
E100342,No,,
E100343,No,,
E100344,No,,
E100345,No,,
E100346,No,,
E100347,No,,
E100348,No,,
E100349,Yes,2021-12-10,Better Pay
E100350,Yes,2022-01-27,Better Pay
E100351,Yes,2025-03-30,Better Pay
E100352,No,,
E100353,Yes,2024-12-12,Better Pay
E100354,No,,
E100355,No,,
E100356,No,,
E100357,No,,
E100358,No,,
E100359,No,,
E100360,No,,
E100361,No,,
E100362,Yes,2025-10-26,Work-Life Balance
E100363,No,,
E100364,No,,
E100365,No,,
E100366,No,,
E100367,No,,
E100368,No,,
E100369,Yes,2024-05-25,Manager Issues
E100370,Yes,2025-01-28,Better Pay
E100371,No,,
E100372,Yes,2027-06-13,Career Stagnation
E100373,No,,
E100374,Yes,2025-08-10,Manager Issues
E100375,No,,
E100376,No,,
E100377,Yes,2027-01-22,Work-Life Balance
E100378,Yes,2024-09-30,Career Stagnation
E100379,No,,
E100380,No,,
E100381,No,,
E100382,Yes,2021-09-05,Career Stagnation
E100383,Yes,2018-07-08,Manager Issues
E100384,No,,
E100385,No,,
E100386,No,,
E100387,No,,
E100388,Yes,2025-08-10,Career Stagnation
E100389,No,,
E100390,No,,
E100391,Yes,2019-08-09,Career Stagnation
E100392,Yes,2026-08-08,Career Stagnation
E100393,No,,
E100394,No,,
E100395,No,,
E100396,No,,
E100397,No,,
E100398,No,,
E100399,Yes,2019-05-14,Career Stagnation
E100400,No,,
E100401,No,,
E100402,No,,
E100403,Yes,2018-11-13,Manager Issues
E100404,No,,
E100405,No,,
E100406,No,,
E100407,No,,
E100408,No,,
E100409,Yes,2026-02-22,Work-Life Balance
E100410,No,,
E100411,No,,
E100412,Yes,2020-11-19,Manager Issues
E100413,No,,
E100414,Yes,2020-09-20,Better Pay
E100415,No,,
E100416,No,,
E100417,Yes,2021-09-23,Better Pay
E100418,No,,
E100419,Yes,2024-11-29,Manager Issues
E100420,Yes,2023-01-29,Manager Issues
E100421,No,,
E100422,No,,
E100423,No,,
E100424,No,,
E100425,No,,
E100426,No,,
E100427,Yes,2021-03-04,Better Pay
E100428,No,,
E100429,No,,
E100430,No,,
E100431,No,,
E100432,No,,
E100433,No,,
E100434,No,,
E100435,No,,
E100436,Yes,2021-03-14,Better Pay
E100437,No,,
E100438,No,,
E100439,No,,
E100440,No,,
E100441,No,,
E100442,No,,
E100443,No,,
E100444,No,,
E100445,Yes,2026-06-25,Better Pay
E100446,No,,
E100447,Yes,2023-06-12,Manager Issues
E100448,No,,
E100449,No,,
E100450,No,,
E100451,No,,
E100452,Yes,2023-11-26,Work-Life Balance
E100453,No,,
E100454,No,,
E100455,No,,
E100456,No,,
E100457,No,,
E100458,Yes,2022-07-18,Better Pay
E100459,No,,
E100460,No,,
E100461,Yes,2019-06-20,Manager Issues
E100462,No,,
E100463,No,,
E100464,No,,
E100465,Yes,2024-01-16,Manager Issues
E100466,No,,
E100467,No,,
E100468,Yes,2022-08-05,Better Pay
E100469,No,,
E100470,No,,
E100471,No,,
E100472,No,,
E100473,No,,
E100474,No,,
E100475,No,,
E100476,No,,
E100477,No,,
E100478,No,,
E100479,No,,
E100480,Yes,2023-07-22,Better Pay
E100481,No,,
E100482,No,,
E100483,No,,
E100484,Yes,2024-01-03,Better Pay
E100485,No,,
E100486,Yes,2026-08-25,Better Pay
E100487,No,,
E100488,No,,
E100489,Yes,2023-09-05,Work-Life Balance
E100490,No,,
E100491,No,,
E100492,No,,
E100493,Yes,2024-04-12,Better Pay
E100494,Yes,2027-09-28,Career Stagnation
E100495,Yes,2021-11-23,Better Pay
E100496,No,,
E100497,No,,
E100498,No,,
E100499,No,,
E100500,No,,
E100501,No,,
E100502,No,,
E100503,No,,
E100504,No,,
E100505,No,,
E100506,No,,
E100507,No,,
E100508,No,,
E100509,No,,
E100510,No,,
E100511,No,,
E100512,No,,
E100513,No,,
E100514,No,,
E100515,Yes,2020-08-25,Career Stagnation
E100516,No,,
E100517,Yes,2020-09-17,Manager Issues
E100518,No,,
E100519,No,,
E100520,No,,
E100521,No,,
E100522,No,,
E100523,Yes,2022-09-22,Work-Life Balance
E100524,Yes,2022-12-19,Manager Issues
E100525,Yes,2021-09-02,Work-Life Balance
E100526,No,,
E100527,No,,
E100528,No,,
E100529,No,,
E100530,No,,
E100531,Yes,2022-09-04,Manager Issues
E100532,Yes,2027-01-09,Manager Issues
E100533,No,,
E100534,No,,
E100535,No,,
E100536,No,,
E100537,No,,
E100538,Yes,2021-05-07,Career Stagnation
E100539,No,,
E100540,Yes,2025-09-08,Manager Issues
E100541,No,,
E100542,No,,
E100543,No,,
E100544,No,,
E100545,No,,
E100546,No,,
E100547,Yes,2024-04-10,Better Pay
E100548,No,,
E100549,No,,
E100550,No,,
E100551,No,,
E100552,No,,
E100553,No,,
E100554,No,,
E100555,No,,
E100556,No,,
E100557,No,,
E100558,No,,
E100559,No,,
E100560,No,,
E100561,No,,
E100562,No,,
E100563,No,,
E100564,No,,
E100565,Yes,2026-03-13,Work-Life Balance
E100566,No,,
E100567,Yes,2019-02-19,Better Pay
E100568,No,,
E100569,No,,
E100570,No,,
E100571,No,,
E100572,No,,
E100573,No,,
E100574,Yes,2018-11-12,Manager Issues
E100575,No,,
E100576,No,,
E100577,No,,
E100578,No,,
E100579,No,,
E100580,No,,
E100581,No,,
E100582,No,,
E100583,No,,
E100584,Yes,2025-09-10,Better Pay
E100585,No,,
E100586,No,,
E100587,No,,
E100588,No,,
E100589,No,,
E100590,Yes,2025-07-16,Career Stagnation
E100591,No,,
E100592,No,,
E100593,No,,
E100594,No,,
E100595,No,,
E100596,No,,
E100597,Yes,2024-09-13,Better Pay
E100598,Yes,2024-02-11,Better Pay
E100599,No,,
E100600,No,,
E100601,No,,
E100602,No,,
E100603,No,,
E100604,No,,
E100605,No,,
E100606,No,,
E100607,No,,
E100608,No,,
E100609,No,,
E100610,Yes,2019-04-17,Work-Life Balance
E100611,No,,
E100612,No,,
E100613,No,,
E100614,No,,
E100615,No,,
E100616,No,,
E100617,No,,
E100618,No,,
E100619,No,,
E100620,No,,
E100621,No,,
E100622,Yes,2023-12-15,Better Pay
E100623,Yes,2024-11-24,Work-Life Balance
E100624,No,,
E100625,Yes,2024-04-01,Better Pay
E100626,No,,
E100627,No,,
E100628,No,,
E100629,No,,
E100630,No,,
E100631,No,,
E100632,No,,
E100633,No,,
E100634,No,,
E100635,No,,
E100636,No,,
E100637,No,,
E100638,No,,
E100639,No,,
E100640,No,,
E100641,No,,
E100642,No,,
E100643,No,,
E100644,No,,
E100645,No,,
E100646,No,,
E100647,No,,
E100648,No,,
E100649,Yes,2024-05-21,Better Pay
E100650,Yes,2024-02-22,Manager Issues
E100651,No,,
E100652,Yes,2024-08-16,Career Stagnation
E100653,No,,
E100654,No,,
E100655,No,,
E100656,Yes,2022-06-28,Better Pay
E100657,No,,
E100658,No,,
E100659,No,,
E100660,No,,
E100661,Yes,2022-12-31,Manager Issues
E100662,Yes,2023-10-05,Better Pay
E100663,No,,
E100664,No,,
E100665,Yes,2024-02-29,Career Stagnation
E100666,No,,
E100667,No,,
E100668,No,,
E100669,No,,
E100670,No,,
E100671,Yes,2022-09-27,Manager Issues
E100672,No,,
E100673,No,,
E100674,No,,
E100675,No,,
E100676,No,,
E100677,Yes,2019-03-07,Career Stagnation
E100678,No,,
E100679,No,,
E100680,No,,
E100681,Yes,2023-06-04,Manager Issues
E100682,No,,
E100683,No,,
E100684,No,,
E100685,No,,
E100686,No,,
E100687,No,,
E100688,No,,
E100689,No,,
E100690,No,,
E100691,No,,
E100692,Yes,2018-05-29,Manager Issues
E100693,No,,
E100694,No,,
E100695,No,,
E100696,No,,
E100697,Yes,2022-10-09,Better Pay
E100698,No,,
E100699,Yes,2024-06-10,Better Pay
E100700,Yes,2024-04-19,Better Pay
E100701,No,,
E100702,No,,
E100703,No,,
E100704,No,,
E100705,Yes,2019-08-20,Manager Issues
E100706,Yes,2022-01-21,Manager Issues
E100707,No,,
E100708,No,,
E100709,No,,
E100710,No,,
E100711,No,,
E100712,No,,
E100713,No,,
E100714,No,,
E100715,No,,
E100716,No,,
E100717,Yes,2027-04-06,Career Stagnation
E100718,No,,
E100719,No,,
E100720,No,,
E100721,Yes,2023-08-31,Career Stagnation
E100722,Yes,2025-03-10,Work-Life Balance
E100723,No,,
E100724,No,,
E100725,No,,
E100726,No,,
E100727,No,,
E100728,No,,
E100729,No,,
E100730,Yes,2020-10-05,Better Pay
E100731,No,,
E100732,Yes,2021-04-29,Better Pay
E100733,No,,
E100734,No,,
E100735,No,,
E100736,No,,
E100737,Yes,2024-12-29,Better Pay
E100738,Yes,2018-10-28,Better Pay
E100739,No,,
E100740,Yes,2026-06-19,Work-Life Balance
E100741,No,,
E100742,No,,
E100743,No,,
E100744,Yes,2023-11-10,Better Pay
E100745,No,,
E100746,No,,
E100747,Yes,2025-02-01,Work-Life Balance
E100748,No,,
E100749,Yes,2024-02-27,Manager Issues
E100750,Yes,2022-09-12,Manager Issues
E100751,No,,
E100752,No,,
E100753,No,,
E100754,No,,
E100755,Yes,2022-07-13,Work-Life Balance
E100756,No,,
E100757,Yes,2019-07-15,Better Pay
E100758,No,,
E100759,No,,
E100760,No,,
E100761,No,,
E100762,Yes,2022-12-07,Manager Issues
E100763,No,,
E100764,No,,
E100765,No,,
E100766,Yes,2023-08-20,Career Stagnation
E100767,No,,
E100768,Yes,2026-02-14,Better Pay
E100769,No,,
E100770,No,,
E100771,No,,
E100772,No,,
E100773,No,,
E100774,No,,
E100775,No,,
E100776,No,,
E100777,No,,
E100778,No,,
E100779,No,,
E100780,No,,
E100781,No,,
E100782,No,,
E100783,No,,
E100784,No,,
E100785,Yes,2022-12-03,Manager Issues
E100786,No,,
E100787,No,,
E100788,No,,
E100789,No,,
E100790,No,,
E100791,No,,
E100792,No,,
E100793,No,,
E100794,No,,
E100795,No,,
E100796,No,,
E100797,No,,
E100798,No,,
E100799,No,,
E100800,No,,
E100801,Yes,2019-07-07,Manager Issues
E100802,Yes,2021-04-26,Career Stagnation
E100803,No,,
E100804,Yes,2020-05-05,Better Pay
E100805,No,,
E100806,No,,
E100807,No,,
E100808,No,,
E100809,Yes,2023-12-15,Work-Life Balance
E100810,No,,
E100811,Yes,2021-11-08,Better Pay
E100812,No,,
E100813,No,,
E100814,Yes,2024-03-22,Manager Issues
E100815,Yes,2027-07-04,Manager Issues
E100816,No,,
E100817,No,,
E100818,No,,
E100819,No,,
E100820,Yes,2027-06-27,Manager Issues
E100821,No,,
E100822,No,,
E100823,No,,
E100824,Yes,2023-02-08,Better Pay
E100825,Yes,2021-11-14,Better Pay
E100826,No,,
E100827,No,,
E100828,No,,
E100829,No,,
E100830,No,,
E100831,No,,
E100832,No,,
E100833,No,,
E100834,No,,
E100835,Yes,2020-12-01,Career Stagnation
E100836,No,,
E100837,No,,
E100838,No,,
E100839,No,,
E100840,Yes,2020-09-24,Better Pay
E100841,Yes,2027-02-19,Manager Issues
E100842,No,,
E100843,No,,
E100844,No,,
E100845,No,,
E100846,No,,
E100847,No,,
E100848,No,,
E100849,No,,
E100850,No,,
E100851,No,,
E100852,No,,
E100853,No,,
E100854,No,,
E100855,No,,
E100856,No,,
E100857,No,,
E100858,No,,
E100859,Yes,2018-12-30,Better Pay
E100860,Yes,2018-05-27,Better Pay
E100861,No,,
E100862,Yes,2025-12-31,Manager Issues
E100863,No,,
E100864,No,,
E100865,No,,
E100866,No,,
E100867,Yes,2025-01-01,Work-Life Balance
E100868,No,,
E100869,Yes,2024-06-20,Better Pay
E100870,No,,
E100871,Yes,2021-09-09,Work-Life Balance
E100872,Yes,2021-03-01,Manager Issues
E100873,No,,
E100874,No,,
E100875,No,,
E100876,No,,
E100877,Yes,2025-09-10,Manager Issues
E100878,No,,
E100879,No,,
E100880,No,,
E100881,No,,
E100882,No,,
E100883,No,,
E100884,No,,
E100885,No,,
E100886,No,,
E100887,No,,
E100888,Yes,2024-11-30,Better Pay
E100889,No,,
E100890,Yes,2023-05-09,Better Pay
E100891,No,,
E100892,No,,
E100893,No,,
E100894,No,,
E100895,No,,
E100896,Yes,2023-05-20,Better Pay
E100897,No,,
E100898,No,,
E100899,No,,
E100900,Yes,2021-11-09,Better Pay
E100901,Yes,2026-09-09,Career Stagnation
E100902,Yes,2028-07-02,Career Stagnation
E100903,No,,
E100904,No,,
E100905,No,,
E100906,No,,
E100907,Yes,2026-09-08,Better Pay
E100908,No,,
E100909,No,,
E100910,No,,
E100911,Yes,2021-09-25,Better Pay
E100912,No,,
E100913,No,,
E100914,No,,
E100915,No,,
E100916,No,,
E100917,Yes,2025-05-18,Manager Issues
E100918,No,,
E100919,Yes,2024-03-25,Career Stagnation
E100920,No,,
E100921,No,,
E100922,No,,
E100923,No,,
E100924,No,,
E100925,Yes,2026-07-24,Better Pay
E100926,No,,
E100927,No,,
E100928,No,,
E100929,No,,
E100930,No,,
E100931,No,,
E100932,No,,
E100933,No,,
E100934,No,,
E100935,No,,
E100936,Yes,2021-12-17,Work-Life Balance
E100937,Yes,2021-04-02,Better Pay
E100938,No,,
E100939,Yes,2023-04-24,Career Stagnation
E100940,No,,
E100941,No,,
E100942,No,,
E100943,No,,
E100944,Yes,2023-10-30,Better Pay
E100945,No,,
E100946,No,,
E100947,No,,
E100948,No,,
E100949,No,,
E100950,No,,
E100951,No,,
E100952,No,,
E100953,Yes,2022-08-21,Better Pay
E100954,No,,
E100955,No,,
E100956,No,,
E100957,No,,
E100958,No,,
E100959,No,,
E100960,No,,
E100961,No,,
E100962,No,,
E100963,Yes,2025-06-25,Career Stagnation
E100964,No,,
E100965,No,,
E100966,Yes,2023-02-07,Manager Issues
E100967,No,,
E100968,No,,
E100969,No,,
E100970,No,,
E100971,No,,
E100972,Yes,2020-09-01,Career Stagnation
E100973,No,,
E100974,No,,
E100975,No,,
E100976,Yes,2026-09-03,Manager Issues
E100977,No,,
E100978,Yes,2018-11-23,Better Pay
E100979,No,,
E100980,Yes,2020-09-30,Better Pay
E100981,Yes,2019-05-03,Better Pay
E100982,Yes,2019-06-29,Manager Issues
E100983,Yes,2023-01-27,Career Stagnation
E100984,Yes,2022-02-20,Work-Life Balance
E100985,No,,
E100986,No,,
E100987,No,,
E100988,No,,
E100989,No,,
E100990,No,,
E100991,Yes,2020-09-11,Better Pay
E100992,Yes,2025-02-14,Career Stagnation
E100993,No,,
E100994,No,,
E100995,No,,
E100996,No,,
E100997,No,,
E100998,Yes,2022-04-02,Manager Issues
E100999,No,,
E101000,Yes,2023-06-07,Manager Issues
E101001,No,,
E101002,No,,
E101003,No,,
E101004,No,,
E101005,No,,
E101006,Yes,2025-11-11,Better Pay
E101007,No,,
E101008,No,,
E101009,No,,
E101010,No,,
E101011,No,,
E101012,No,,
E101013,No,,
E101014,No,,
E101015,No,,
E101016,No,,
E101017,No,,
E101018,No,,
E101019,No,,
E101020,Yes,2023-12-30,Work-Life Balance
E101021,No,,
E101022,No,,
E101023,No,,
E101024,Yes,2020-04-13,Work-Life Balance
E101025,Yes,2026-07-30,Better Pay
E101026,No,,
E101027,Yes,2021-01-28,Work-Life Balance
E101028,No,,
E101029,No,,
E101030,Yes,2026-12-25,Manager Issues
E101031,No,,
E101032,No,,
E101033,No,,
E101034,No,,
E101035,No,,
E101036,No,,
E101037,No,,
E101038,No,,
E101039,No,,
E101040,Yes,2020-08-17,Better Pay
E101041,No,,
E101042,Yes,2019-01-30,Manager Issues
E101043,No,,
E101044,No,,
E101045,No,,
E101046,Yes,2021-06-23,Manager Issues
E101047,No,,
E101048,No,,
E101049,No,,
E101050,No,,
E101051,No,,
E101052,No,,
E101053,No,,
E101054,No,,
E101055,No,,
E101056,No,,
E101057,No,,
E101058,No,,
E101059,Yes,2025-04-11,Manager Issues
E101060,Yes,2024-07-31,Better Pay
E101061,No,,
E101062,No,,
E101063,No,,
E101064,No,,
E101065,Yes,2020-05-11,Manager Issues
E101066,No,,
E101067,No,,
E101068,Yes,2020-07-25,Manager Issues
E101069,No,,
E101070,No,,
E101071,Yes,2021-06-28,Manager Issues
E101072,No,,
E101073,Yes,2019-10-10,Better Pay
E101074,No,,
E101075,No,,
E101076,No,,
E101077,No,,
E101078,Yes,2021-08-10,Better Pay
E101079,No,,
E101080,No,,
E101081,No,,
E101082,No,,
E101083,No,,
E101084,No,,
E101085,Yes,2022-05-27,Better Pay
E101086,No,,
E101087,Yes,2027-02-21,Career Stagnation
E101088,No,,
E101089,Yes,2023-09-07,Career Stagnation
E101090,No,,
E101091,No,,
E101092,No,,
E101093,No,,
E101094,Yes,2025-07-28,Better Pay
E101095,Yes,2026-09-06,Manager Issues
E101096,No,,
E101097,No,,
E101098,No,,
E101099,No,,
E101100,No,,
E101101,No,,
E101102,No,,
E101103,Yes,2021-07-06,Career Stagnation
E101104,No,,
E101105,No,,
E101106,No,,
E101107,No,,
E101108,Yes,2022-06-28,Better Pay
E101109,No,,
E101110,No,,
E101111,No,,
E101112,No,,
E101113,No,,
E101114,No,,
E101115,No,,
E101116,Yes,2022-04-21,Career Stagnation
E101117,Yes,2023-08-15,Better Pay
E101118,No,,
E101119,No,,
E101120,No,,
E101121,No,,
E101122,No,,
E101123,No,,
E101124,No,,
E101125,No,,
E101126,No,,
E101127,No,,
E101128,No,,
E101129,No,,
E101130,No,,
E101131,No,,
E101132,No,,
E101133,No,,
E101134,No,,
E101135,Yes,2025-06-12,Career Stagnation
E101136,No,,
E101137,No,,
E101138,Yes,2023-10-27,Better Pay
E101139,No,,
E101140,No,,
E101141,No,,
E101142,No,,
E101143,No,,
E101144,No,,
E101145,No,,
E101146,No,,
E101147,Yes,2019-04-17,Manager Issues
E101148,No,,
E101149,No,,
E101150,No,,
E101151,No,,
E101152,Yes,2023-07-07,Better Pay
E101153,No,,
E101154,No,,
E101155,No,,
E101156,No,,
E101157,No,,
E101158,No,,
E101159,No,,
E101160,No,,
E101161,No,,
E101162,No,,
E101163,No,,
E101164,Yes,2025-10-06,Better Pay
E101165,No,,
E101166,Yes,2020-02-27,Better Pay
E101167,Yes,2018-04-05,Work-Life Balance
E101168,Yes,2026-01-18,Better Pay
E101169,No,,
E101170,No,,
E101171,Yes,2022-10-23,Manager Issues
E101172,No,,
E101173,No,,
E101174,Yes,2020-06-03,Better Pay
E101175,No,,
E101176,No,,
E101177,No,,
E101178,No,,
E101179,No,,
E101180,No,,
E101181,No,,
E101182,No,,
E101183,No,,
E101184,No,,
E101185,No,,
E101186,No,,
E101187,No,,
E101188,Yes,2028-05-16,Work-Life Balance
E101189,No,,
E101190,Yes,2021-01-31,Work-Life Balance
E101191,Yes,2024-08-12,Career Stagnation
E101192,No,,
E101193,No,,
E101194,No,,
E101195,Yes,2024-12-02,Work-Life Balance
E101196,No,,
E101197,No,,
E101198,No,,
E101199,No,,
E101200,No,,
E101201,No,,
E101202,No,,
E101203,No,,
E101204,No,,
E101205,No,,
E101206,No,,
E101207,No,,
E101208,No,,
E101209,No,,
E101210,No,,
E101211,Yes,2025-11-25,Work-Life Balance
E101212,No,,
E101213,No,,
E101214,Yes,2021-07-27,Manager Issues
E101215,No,,
E101216,No,,
E101217,No,,
E101218,No,,
E101219,Yes,2024-09-09,Better Pay
E101220,No,,
E101221,No,,
E101222,No,,
E101223,No,,
E101224,No,,
E101225,Yes,2021-07-03,Better Pay
E101226,No,,
E101227,No,,
E101228,No,,
E101229,No,,
E101230,No,,
E101231,No,,
E101232,No,,
E101233,No,,
E101234,No,,
E101235,No,,
E101236,No,,
E101237,No,,
E101238,No,,
E101239,Yes,2024-07-18,Career Stagnation
E101240,No,,
E101241,No,,
E101242,No,,
E101243,Yes,2023-12-24,Work-Life Balance
E101244,No,,
E101245,No,,
E101246,No,,
E101247,Yes,2027-02-11,Career Stagnation
E101248,No,,
E101249,Yes,2022-05-17,Better Pay
E101250,No,,
E101251,No,,
E101252,No,,
E101253,No,,
E101254,Yes,2026-03-16,Manager Issues
E101255,No,,
E101256,No,,
E101257,No,,
E101258,Yes,2022-05-18,Career Stagnation
E101259,No,,
E101260,Yes,2026-04-18,Manager Issues
E101261,No,,
E101262,No,,
E101263,No,,
E101264,No,,
