employee_id,survey_date,engagement_score,work_life_balance,manager_support
E100051,2020-09-25,5,3,2
E100051,2020-01-12,2,4,1
E100052,2022-03-05,1,2,4
E100052,2019-11-01,1,3,2
E100053,2023-07-26,2,4,2
E100053,2021-03-12,2,3,2
E100053,2020-01-26,5,1,1
E100054,2019-11-22,3,2,5
E100054,2019-08-20,5,5,1
E100055,2023-07-26,3,4,2
E100056,2022-06-27,1,3,3
E100056,2019-08-03,5,1,2
E100056,2021-06-11,3,1,2
E100057,2020-11-16,5,5,4
E100057,2021-01-25,4,2,4
E100057,2022-02-20,5,4,1
E100058,2021-04-24,4,4,2
E100059,2020-03-02,3,4,1
E100059,2020-05-11,4,3,4
E100060,2021-07-24,4,5,3
E100060,2022-12-06,2,1,4
E100060,2022-10-27,4,5,2
E100061,2021-04-07,2,4,1
E100061,2021-01-03,5,1,1
E100061,2023-04-21,3,1,5
E100062,2019-05-04,4,1,2
E100063,2020-06-07,3,3,5
E100063,2020-10-15,5,3,5
E100063,2021-12-11,1,5,1
E100064,2019-10-22,1,2,4
E100065,2021-10-23,3,3,1
E100066,2022-12-25,1,1,3
E100066,2020-07-02,1,1,1
E100067,2019-07-11,5,2,4
E100068,2021-05-03,2,4,3
E100068,2023-07-27,5,1,4
E100069,2020-04-03,4,3,1
E100069,2023-02-13,3,1,4
E100069,2022-03-20,4,1,2
E100070,2021-04-13,2,3,3
E100070,2023-10-24,3,4,5
E100070,2022-05-02,4,5,4
E100071,2021-02-14,5,5,2
E100071,2023-01-06,5,2,1
E100072,2021-02-20,1,2,3
E100073,2020-02-09,2,4,2
E100073,2019-11-03,3,2,4
E100073,2020-03-27,4,5,1
E100074,2019-06-29,5,1,3
E100075,2023-01-29,2,2,4
E100075,2021-10-14,1,1,5
E100076,2023-04-26,5,3,1
E100076,2020-09-03,5,2,4
E100076,2022-07-21,4,3,4
E100077,2021-03-27,3,2,1
E100077,2020-06-19,1,2,3
E100077,2021-11-04,4,2,1
E100078,2020-08-27,3,2,2
E100079,2021-02-17,1,2,2
E100079,2020-09-28,2,2,5
E100080,2019-03-22,2,5,4
E100080,2019-11-05,2,1,5
E100080,2019-08-19,3,4,1
E100081,2019-10-23,5,4,5
E100081,2019-04-12,4,1,3
E100081,2021-03-06,5,2,5
E100082,2021-09-22,1,2,2
E100082,2021-10-01,1,5,2
E100083,2019-07-22,1,3,3
E100084,2022-01-17,5,2,2
E100085,2020-05-20,4,4,3
E100085,2020-02-09,2,2,3
E100086,2020-08-01,2,5,4
E100086,2023-05-10,5,2,4
E100087,2020-02-03,4,4,1
E100088,2020-03-31,5,5,1
E100089,2019-06-05,3,1,5
E100090,2021-01-06,5,2,3
E100090,2019-10-08,3,3,3
E100091,2022-02-19,2,5,1
E100091,2020-06-21,4,3,4
E100091,2019-05-18,5,3,3
E100092,2019-07-01,1,3,2
E100092,2019-09-18,3,4,3
E100093,2019-07-09,1,1,5
E100094,2019-06-04,1,3,2
E100095,2023-05-31,4,2,4
E100095,2021-08-16,3,2,5
E100096,2020-08-03,2,3,3
E100097,2022-12-26,5,4,4
E100098,2023-01-29,1,1,1
E100098,2023-08-01,3,1,5
E100099,2019-12-19,2,4,5
E100099,2019-11-18,4,5,4
E100099,2021-02-16,4,3,1
E100100,2023-10-05,3,5,3
E100100,2023-08-28,4,4,3
E100101,2023-03-14,1,5,4
E100101,2021-06-10,2,3,3
E100101,2019-07-17,4,3,2
E100102,2019-11-25,2,5,1
E100102,2020-03-04,2,1,3
E100102,2022-10-10,2,5,2
E100103,2019-04-28,4,2,1
E100103,2023-02-14,3,2,1
E100104,2019-09-12,3,2,5
E100104,2023-10-16,3,5,3
E100104,2019-05-16,1,2,3
E100105,2023-06-06,1,5,1
E100105,2023-10-01,2,3,2
E100105,2021-06-23,4,2,4
E100106,2021-04-02,4,4,3
E100106,2021-08-26,2,2,3
E100106,2020-02-02,5,2,3
E100107,2020-04-13,5,5,1
E100108,2021-05-16,5,3,3
E100108,2020-08-18,1,5,1
E100109,2021-03-30,3,2,4
E100109,2020-04-23,3,4,5
E100109,2021-04-19,3,1,3
E100110,2020-02-04,3,1,5
E100110,2021-09-16,1,5,4
E100110,2019-11-03,4,3,3
E100111,2021-04-04,3,5,1
E100111,2022-10-07,3,5,5
E100112,2020-12-26,1,4,3
E100112,2020-09-12,4,1,5
E100112,2020-10-19,1,4,5
E100113,2020-05-06,2,5,4
E100113,2023-11-04,2,1,3
E100113,2022-06-12,4,2,3
E100114,2023-09-08,2,3,4
E100114,2022-01-06,1,3,1
E100114,2022-02-25,2,4,3
E100115,2020-11-29,4,3,2
E100115,2020-01-13,5,5,2
E100116,2021-04-09,3,2,5
E100116,2021-03-20,3,2,3
E100116,2021-05-11,4,5,2
E100117,2019-07-06,2,3,1
E100117,2021-08-17,2,5,1
E100117,2023-02-16,1,1,1
E100118,2020-07-30,2,3,3
E100118,2021-09-19,3,4,5
E100118,2023-09-02,2,1,5
E100119,2022-05-20,1,4,3
E100119,2023-01-19,3,3,3
E100120,2020-01-28,2,5,1
E100121,2021-08-31,5,5,1
E100121,2021-09-15,3,2,4
E100122,2019-06-03,2,4,4
E100122,2021-11-04,1,1,4
E100122,2020-05-22,4,5,5
E100123,2023-06-19,5,3,5
E100123,2020-10-31,5,3,3
E100123,2023-06-20,4,4,1
E100124,2020-03-23,2,2,2
E100124,2019-11-05,5,2,1
E100125,2021-01-03,4,3,1
E100125,2021-11-30,2,5,5
E100126,2023-06-20,2,2,2
E100126,2021-10-02,1,1,1
E100127,2022-02-04,2,3,4
E100127,2023-03-07,1,5,5
E100128,2023-03-12,1,2,2
E100129,2023-04-03,2,1,2
E100130,2020-09-26,3,2,1
E100130,2022-06-03,2,3,5
E100130,2023-11-03,4,2,5
E100131,2019-10-16,1,5,2
E100131,2019-03-22,4,4,4
E100132,2022-11-24,5,3,4
E100132,2019-11-27,3,3,4
E100132,2023-10-09,4,5,2
E100133,2019-06-14,1,2,3
E100134,2019-06-13,5,4,5
E100134,2019-08-22,2,4,1
E100134,2020-07-12,4,3,1
E100135,2019-07-31,4,4,1
E100136,2020-06-30,1,1,2
E100136,2022-08-09,1,5,2
E100136,2019-12-03,3,1,5
E100137,2019-12-13,5,2,1
E100137,2019-10-21,5,5,1
E100137,2020-08-06,5,4,2
E100138,2019-05-25,5,4,3
E100139,2022-09-30,5,5,3
E100139,2022-02-22,4,2,5
E100140,2020-12-31,1,5,1
E100140,2019-08-13,4,1,1
E100140,2022-03-13,3,1,1
E100141,2023-10-11,5,4,3
E100141,2019-08-08,2,2,4
E100141,2021-04-11,3,5,2
E100142,2019-08-12,1,1,5
E100142,2021-09-16,1,1,2
E100142,2020-09-15,4,5,1
E100143,2022-03-02,4,1,4
E100143,2019-11-21,3,5,1
E100144,2020-05-06,1,4,5
E100144,2021-09-14,5,2,3
E100144,2021-04-06,3,4,3
E100145,2019-08-11,2,3,3
E100145,2020-11-29,1,5,3
E100146,2021-02-17,5,1,5
E100146,2021-01-24,2,3,1
E100146,2022-07-15,3,1,5
E100147,2022-07-11,1,4,1
E100147,2019-11-13,1,2,4
E100148,2020-08-19,3,4,1
E100149,2021-10-14,3,4,3
E100149,2019-05-21,2,1,5
E100150,2023-01-31,4,2,3
E100150,2020-06-11,3,2,4
E100151,2020-06-02,5,2,3
E100152,2023-03-28,4,1,1
E100152,2023-06-17,4,2,1
E100153,2020-12-12,4,1,5
E100153,2023-08-14,1,5,2
E100153,2023-05-25,4,2,2
E100154,2020-02-08,3,1,3
E100154,2020-06-05,5,5,4
E100155,2020-11-22,4,2,1
E100155,2020-11-11,4,5,1
E100156,2021-07-14,2,5,1
E100157,2022-02-18,5,1,5
E100158,2023-10-08,5,1,3
E100159,2023-04-26,1,4,5
E100160,2022-07-06,2,2,1
E100160,2019-09-02,3,3,5
E100160,2021-07-16,5,5,1
E100161,2022-02-08,1,5,5
E100162,2023-01-06,2,3,2
E100163,2021-04-22,2,3,4
E100163,2020-02-11,3,2,2
E100163,2019-10-17,3,1,2
E100164,2019-08-16,5,3,4
E100165,2021-06-07,3,1,2
E100166,2019-10-15,4,1,2
E100167,2023-06-05,4,4,1
E100167,2022-06-17,3,1,1
E100167,2020-10-26,2,5,4
E100168,2021-04-24,2,5,5
E100168,2020-10-26,5,4,1
E100168,2022-05-08,4,5,1
E100169,2021-02-03,5,4,5
E100170,2020-03-30,3,1,5
E100170,2021-03-31,5,3,3
E100171,2020-11-13,1,4,5
E100172,2020-02-27,5,5,2
E100172,2020-06-30,3,3,2
E100173,2022-02-24,1,3,4
E100174,2021-08-20,2,2,5
E100174,2022-06-09,2,1,2
E100174,2022-09-09,3,2,2
E100175,2020-05-29,2,3,1
E100175,2019-06-10,4,2,1
E100175,2023-02-24,1,5,5
E100176,2021-02-21,2,2,3
E100176,2019-04-04,1,1,1
E100177,2020-09-06,4,3,1
E100178,2021-10-21,3,4,1
E100178,2023-02-05,1,4,5
E100178,2023-07-17,5,5,2
E100179,2022-05-24,1,5,1
E100179,2023-04-11,3,4,3
E100179,2022-11-10,4,3,1
E100180,2019-04-12,4,3,3
E100180,2020-05-08,1,5,2
E100180,2022-04-25,4,4,3
E100181,2020-12-19,1,4,1
E100181,2019-07-27,1,1,3
E100181,2021-08-11,1,4,1
E100182,2022-01-23,3,1,5
E100183,2019-05-22,1,5,4
E100183,2019-04-07,4,3,4
E100184,2019-05-24,2,4,3
E100184,2021-01-11,2,3,3
E100185,2019-05-18,5,4,3
E100186,2019-09-24,5,1,1
E100186,2020-08-14,4,3,5
E100186,2021-11-24,3,1,1
E100187,2019-05-19,3,3,4
E100188,2023-05-11,2,3,4
E100188,2020-12-07,3,3,3
E100188,2020-10-25,3,4,2
E100189,2021-11-25,4,1,1
E100189,2019-08-12,1,5,4
E100190,2019-09-09,1,2,5
E100190,2022-04-12,2,2,3
E100191,2021-08-02,3,4,5
E100191,2021-07-21,2,5,2
E100191,2019-03-14,4,2,2
E100192,2021-09-04,4,4,5
E100193,2020-03-30,5,3,2
E100193,2021-01-03,1,5,1
E100193,2023-03-17,5,5,1
E100194,2022-05-01,1,3,3
E100194,2019-12-06,2,2,2
E100195,2019-07-31,1,1,2
E100195,2020-02-29,1,5,3
E100195,2019-09-03,3,4,1
E100196,2020-12-03,3,1,3
E100196,2021-05-16,3,2,3
E100196,2022-08-12,5,5,3
E100197,2023-01-01,3,5,2
E100197,2023-10-20,4,5,2
E100198,2021-07-20,5,5,1
E100198,2022-04-10,3,3,4
E100198,2019-08-11,3,3,4
E100199,2022-09-12,2,5,2
E100200,2021-06-18,4,2,4
E100201,2022-11-28,4,2,1
E100202,2021-10-16,5,2,2
E100203,2021-09-03,1,3,3
E100203,2022-09-22,4,2,3
E100204,2021-01-28,2,5,2
E100204,2019-12-12,2,1,2
E100204,2021-01-10,4,4,3
E100205,2023-05-29,2,5,4
E100206,2021-08-23,1,1,1
E100206,2021-01-17,1,2,3
E100207,2020-02-18,5,3,3
E100207,2023-06-05,2,5,4
E100207,2022-06-15,4,5,5
E100208,2022-11-21,3,1,2
E100209,2022-12-29,2,5,4
E100209,2022-08-10,3,2,1
E100210,2020-04-30,3,2,5
E100210,2022-06-17,4,4,2
E100211,2021-12-31,5,5,5
E100212,2020-11-28,5,5,2
E100213,2020-11-08,5,2,2
E100214,2023-07-14,2,3,5
E100214,2022-08-08,2,1,3
E100214,2022-12-06,3,5,2
E100215,2023-09-03,2,5,3
E100216,2019-07-30,2,4,2
E100216,2023-01-29,3,1,3
E100216,2021-09-08,1,5,1
E100217,2022-05-30,4,5,2
E100218,2021-09-02,3,2,5
E100218,2019-07-22,5,2,4
E100219,2022-12-29,5,3,5
E100219,2022-12-16,1,3,5
E100219,2019-06-18,1,1,2
E100220,2020-05-07,1,1,1
E100221,2020-04-25,2,5,1
E100221,2019-08-04,4,4,1
E100222,2020-08-28,2,4,5
E100223,2020-08-22,4,1,2
E100223,2023-05-21,2,3,4
E100224,2021-08-19,3,3,4
E100224,2022-05-17,3,4,3
E100224,2019-12-17,4,4,1
E100225,2022-04-04,2,3,3
E100226,2023-06-01,2,3,3
E100226,2022-01-23,1,1,1
E100227,2021-02-11,4,3,2
E100227,2019-06-15,3,4,4
E100227,2023-05-31,3,1,4
E100228,2019-07-11,2,1,1
E100228,2023-03-17,2,4,5
E100228,2022-04-16,2,3,5
E100229,2021-03-19,3,1,4
E100230,2020-11-28,1,4,5
E100230,2019-10-15,5,1,4
E100231,2021-08-13,2,2,5
E100231,2021-09-25,1,1,5
E100232,2020-04-26,5,1,5
E100232,2022-07-14,3,2,1
E100232,2019-05-19,2,4,4
E100233,2023-06-01,5,3,1
E100234,2023-05-15,4,2,3
E100234,2023-02-22,2,1,1
E100235,2023-07-14,3,3,3
E100235,2020-02-07,1,5,5
E100235,2020-10-24,3,2,3
E100236,2021-03-11,5,2,1
E100236,2019-07-13,1,2,1
E100236,2021-09-05,2,4,4
E100237,2021-01-13,1,4,2
E100237,2022-08-17,2,3,1
E100237,2022-08-04,3,5,3
E100238,2023-01-02,3,2,1
E100238,2023-07-23,4,1,2
E100239,2023-05-10,2,4,1
E100240,2022-08-25,1,5,4
E100240,2022-02-13,5,1,4
E100241,2020-04-06,2,5,4
E100241,2022-06-06,4,1,5
E100241,2022-04-18,2,3,1
E100242,2021-07-04,4,5,3
E100242,2021-03-22,4,5,5
E100242,2022-08-21,4,3,2
E100243,2019-04-03,1,2,4
E100243,2023-01-28,1,2,5
E100243,2021-04-15,1,1,2
E100244,2020-03-06,3,2,5
E100244,2020-09-04,3,3,4
E100244,2019-07-25,3,3,2
E100245,2019-08-22,5,4,5
E100245,2020-03-22,5,5,4
E100245,2023-05-03,2,5,4
E100246,2019-09-05,4,5,1
E100246,2023-02-14,4,4,5
E100247,2020-05-23,4,2,1
E100248,2020-05-19,4,4,5
E100248,2021-03-24,5,3,5
E100249,2019-03-25,2,1,2
E100250,2023-01-12,2,5,3
E100250,2021-12-24,4,4,5
E100251,2023-06-17,1,3,5
E100251,2022-03-31,4,1,3
E100251,2022-02-18,5,1,2
E100252,2022-04-07,5,5,5
E100253,2021-06-23,1,1,4
E100254,2021-07-18,2,1,5
E100254,2020-12-25,4,5,2
E100255,2019-07-24,1,3,2
E100255,2019-06-07,1,3,1
E100255,2019-11-16,5,1,1
E100256,2022-01-04,5,5,2
E100257,2019-10-19,1,4,5
E100257,2021-01-30,3,3,5
E100258,2019-04-11,4,2,4
E100258,2020-06-28,3,5,2
E100259,2023-06-01,1,2,1
E100259,2019-10-27,2,4,2
E100260,2023-04-24,4,4,2
E100261,2023-06-17,3,3,2
E100261,2021-04-02,2,5,4
E100261,2021-10-13,2,2,4
E100262,2019-06-30,4,1,3
E100262,2019-09-08,5,4,3
E100263,2021-10-13,5,4,5
E100263,2020-05-15,2,1,5
E100264,2023-07-20,2,2,2
E100265,2022-12-25,3,2,1
E100265,2021-08-04,2,5,5
E100266,2019-10-30,2,2,2
E100267,2021-08-24,5,5,2
E100267,2022-08-15,2,3,5
E100267,2023-06-22,1,1,4
E100268,2023-05-25,5,1,5
E100268,2023-08-12,4,4,5
E100269,2022-03-02,4,2,5
E100270,2019-04-15,3,5,1
E100270,2020-08-08,2,3,3
E100270,2021-09-25,5,1,2
E100271,2022-04-23,3,4,2
E100272,2023-08-24,1,3,1
E100272,2021-01-04,5,5,3
E100272,2019-06-02,1,5,3
E100273,2020-03-23,1,5,3
E100274,2023-06-09,1,4,1
E100274,2020-05-02,1,5,5
E100274,2019-11-17,3,1,1
E100275,2020-09-11,1,5,5
E100275,2019-11-10,4,4,3
E100275,2022-04-17,1,1,4
E100276,2023-07-07,4,1,3
E100276,2019-04-26,2,4,1
E100276,2019-04-09,1,2,5
E100277,2021-08-15,1,1,3
E100277,2022-12-01,4,2,5
E100277,2020-01-03,4,1,3
E100278,2023-03-29,1,5,2
E100278,2020-12-28,5,2,5
E100278,2019-07-25,4,1,5
E100279,2020-09-17,4,1,5
E100280,2021-11-18,5,5,4
E100280,2019-03-13,2,5,2
E100281,2020-09-20,2,2,4
E100281,2022-10-18,5,3,3
E100282,2023-09-06,5,2,4
E100282,2020-11-05,4,4,5
E100283,2023-03-25,2,3,1
E100283,2023-02-05,5,3,1
E100284,2023-06-16,3,2,3
E100284,2023-08-05,5,4,2
E100285,2023-05-12,3,5,4
E100285,2021-04-10,3,2,3
E100286,2021-08-25,4,2,3
E100286,2019-08-06,5,2,4
E100286,2021-11-15,1,1,3
E100287,2020-10-28,4,4,4
E100288,2020-07-22,3,1,4
E100288,2023-06-20,4,4,3
E100289,2019-06-03,2,2,5
E100289,2021-06-29,2,2,3
E100289,2019-09-09,1,3,3
E100290,2019-12-13,2,2,5
E100291,2019-06-15,4,4,1
E100291,2023-06-14,1,5,5
E100292,2021-03-09,3,1,3
E100293,2022-04-30,3,3,4
E100293,2020-12-13,3,5,1
E100294,2022-09-27,5,3,4
E100294,2021-03-19,5,3,5
E100294,2020-08-28,1,5,1
E100295,2022-06-26,1,2,2
E100295,2023-07-25,4,3,2
E100296,2020-08-23,1,3,2
E100297,2021-01-27,3,2,5
E100298,2023-03-29,2,5,1
E100298,2022-08-18,4,4,1
E100298,2020-09-05,4,4,3
E100299,2022-01-20,2,4,2
E100299,2020-11-13,1,1,1
E100300,2019-10-31,2,3,1
E100300,2023-07-23,4,1,5
E100300,2021-08-21,4,1,1
E100301,2020-04-16,1,1,5
E100302,2020-01-04,1,1,1
E100303,2022-02-07,2,4,2
E100303,2020-03-10,5,3,3
E100303,2020-10-28,4,4,5
E100304,2023-04-17,2,1,4
E100305,2019-04-23,4,5,5
E100305,2020-10-08,2,5,1
E100306,2023-08-24,4,2,2
E100306,2022-12-24,2,4,5
E100306,2021-05-12,4,2,5
E100307,2019-11-27,1,2,3
E100308,2023-06-29,4,3,2
E100308,2022-04-11,3,5,5
E100308,2022-06-28,3,2,2
E100309,2019-04-14,3,2,1
E100309,2022-04-30,5,1,4
E100309,2020-03-19,3,4,2
E100310,2021-07-13,5,1,1
E100310,2022-11-28,4,1,2
E100311,2021-08-15,3,4,4
E100312,2023-07-28,2,4,1
E100312,2021-07-23,1,5,3
E100312,2020-09-06,5,1,5
E100313,2019-08-26,3,4,1
E100313,2019-12-15,3,4,5
E100314,2019-04-23,2,3,5
E100315,2021-09-16,1,3,2
E100316,2021-12-26,3,1,5
E100316,2022-06-18,3,1,1
E100316,2020-09-21,3,2,5
E100317,2020-04-07,5,1,5
E100317,2019-06-18,4,4,5
E100317,2020-09-28,1,1,1
E100318,2021-10-31,3,4,4
E100318,2019-08-19,1,5,4
E100318,2019-08-23,4,2,5
E100319,2022-11-01,4,2,3
E100319,2023-05-17,5,2,2
E100320,2021-10-17,2,3,4
E100320,2022-03-23,4,2,2
E100320,2021-05-28,1,3,2
E100321,2023-10-05,2,5,2
E100321,2021-11-07,3,1,4
E100321,2023-05-15,1,2,5
E100322,2023-02-02,4,1,3
E100323,2019-06-23,3,1,5
E100323,2020-05-13,4,1,2
E100323,2023-04-14,2,3,5
E100324,2019-12-07,1,1,4
E100325,2023-05-13,3,3,5
E100326,2021-01-18,5,5,2
E100326,2019-06-19,3,4,2
E100326,2020-07-13,3,3,5
E100327,2023-07-09,3,2,2
E100327,2021-03-17,2,5,1
E100328,2021-12-22,2,4,5
E100328,2019-10-05,1,4,1
E100328,2022-12-25,3,1,2
E100329,2022-10-08,1,3,5
E100329,2020-04-04,3,3,2
E100329,2020-01-22,3,2,5
E100330,2020-11-19,5,3,5
E100330,2021-07-23,3,5,2
E100330,2021-01-09,3,1,2
E100331,2020-05-27,5,4,2
E100331,2021-06-25,2,3,1
E100332,2020-06-26,2,4,3
E100332,2019-04-01,3,4,5
E100333,2021-12-16,2,4,1
E100333,2019-06-03,4,5,5
E100333,2020-04-05,2,1,3
E100334,2022-03-28,2,2,1
E100335,2023-04-10,3,2,5
E100335,2023-07-27,3,5,1
E100335,2022-11-21,3,1,1
E100336,2022-07-10,1,2,1
E100336,2021-11-14,2,4,4
E100337,2020-03-10,4,4,4
E100338,2021-04-14,1,1,2
E100338,2022-12-14,5,2,5
E100338,2020-02-01,4,5,2
E100339,2020-07-25,3,4,1
E100339,2021-06-22,1,4,5
E100339,2021-07-22,5,4,3
E100340,2020-03-01,4,2,3
E100340,2022-12-19,2,1,5
E100341,2021-01-27,3,1,4
E100341,2019-11-10,4,5,3
E100342,2021-09-14,5,5,2
E100343,2019-10-28,3,4,2
E100343,2020-08-19,3,2,2
E100344,2020-08-30,5,4,1
E100344,2022-03-21,1,4,4
E100345,2023-07-15,4,5,5
E100346,2020-06-12,3,2,4
E100346,2023-06-19,3,3,4
E100347,2021-05-20,5,3,4
E100347,2021-09-19,5,2,4
E100348,2020-10-16,2,1,5
E100348,2020-09-29,1,3,5
E100348,2021-01-18,2,3,3
E100349,2019-07-25,1,1,2
E100350,2023-11-01,2,4,5
E100351,2021-04-29,4,3,3
E100351,2021-11-05,2,1,4
E100352,2019-08-24,1,1,5
E100352,2022-05-15,1,4,1
E100352,2019-05-02,4,1,4
E100353,2022-12-24,2,4,2
E100353,2022-12-13,3,2,1
E100354,2019-09-24,5,5,2
E100354,2020-11-15,3,1,3
E100355,2021-09-16,2,3,4
E100355,2022-11-26,3,4,1
E100356,2019-11-07,2,2,5
E100356,2022-07-17,5,2,4
E100357,2020-09-23,5,3,3
E100357,2019-10-28,3,2,2
E100358,2020-01-23,5,2,1
E100358,2021-08-21,1,5,1
E100358,2019-09-12,5,2,2
E100359,2020-09-28,1,1,4
E100359,2019-03-16,1,2,2
E100360,2019-10-20,2,1,3
E100360,2022-05-15,1,3,3
E100360,2020-08-30,2,2,1
E100361,2021-12-02,4,5,3
E100361,2021-10-03,1,4,5
E100362,2021-07-10,1,4,2
E100362,2020-11-13,3,2,5
E100362,2022-07-27,4,3,4
E100363,2023-08-16,3,4,3
E100363,2023-10-25,3,4,1
E100363,2019-05-05,1,5,4
E100364,2022-12-14,1,4,5
E100364,2021-03-26,2,3,2
E100364,2020-07-12,1,4,3
E100365,2021-06-08,4,3,4
E100365,2022-08-10,2,5,4
E100366,2021-07-23,1,2,4
E100366,2022-09-18,4,3,4
E100367,2019-08-22,2,4,3
E100368,2019-06-09,2,1,1
E100368,2020-10-17,1,2,2
E100369,2020-12-23,2,2,5
E100370,2021-06-22,1,4,4
E100370,2022-12-28,5,2,3
E100370,2020-07-04,4,4,1
E100371,2023-07-20,2,2,3
E100372,2020-05-24,3,4,2
E100373,2021-12-24,3,5,4
E100373,2023-03-15,5,5,4
E100373,2020-11-24,1,5,3
E100374,2020-08-07,3,1,4
E100374,2019-03-15,1,4,3
E100374,2019-04-13,3,4,5
E100375,2022-06-01,2,3,4
E100376,2019-06-21,2,1,3
E100376,2020-03-05,4,2,1
E100376,2019-07-04,1,5,2
E100377,2023-03-01,1,3,4
E100377,2020-01-13,3,2,3
E100377,2019-06-06,3,3,3
E100378,2022-03-08,5,1,2
E100378,2019-12-26,2,4,2
E100379,2023-08-12,4,5,5
E100379,2023-10-20,3,5,3
E100379,2023-08-04,1,4,1
E100380,2019-06-16,2,5,4
E100381,2019-09-18,2,5,4
E100382,2019-08-04,3,2,4
E100382,2022-05-07,5,1,3
E100382,2022-01-23,5,1,2
E100383,2023-05-16,1,4,4
E100383,2021-02-10,4,2,4
E100384,2022-11-12,4,2,4
E100384,2019-08-03,2,3,3
E100385,2022-02-04,4,5,2
E100386,2023-02-24,5,1,2
E100386,2022-08-30,3,4,2
E100387,2021-12-22,4,5,5
E100387,2023-08-12,1,2,1
E100387,2019-04-14,3,2,3
E100388,2023-05-02,4,5,3
E100389,2019-06-19,5,2,4
E100389,2021-08-03,2,2,3
E100390,2021-11-26,3,4,4
E100390,2019-04-23,4,4,5
E100391,2023-09-25,1,5,4
E100391,2023-04-08,5,4,5
E100391,2022-04-06,4,5,5
E100392,2021-04-06,2,2,5
E100393,2022-02-03,5,2,3
E100394,2022-06-14,4,2,4
E100395,2023-04-29,4,1,3
E100396,2023-06-07,1,3,2
E100396,2019-07-05,5,2,5
E100396,2022-12-09,5,3,1
E100397,2019-07-14,2,1,1
E100397,2019-07-09,5,5,1
E100398,2021-02-05,4,2,1
E100398,2020-09-01,5,2,3
E100398,2019-04-16,5,2,2
E100399,2021-01-27,5,4,1
