employee_id,gender,age,education,department,job_role,hire_date,manager_id,location,employment_type
E100047,M,37,Graduate,IT,Software Engineer,2018-05-31,M327,Pune,Full-time
E100048,M,40,Postgraduate,Finance,Accountant,2023-08-25,M211,Pune,Full-time
E100049,M,35,Graduate,HR,HR Executive,2017-10-12,M234,Bangalore,Full-time
E100050,M,40,Graduate,Operations,Process Manager,2021-06-14,M257,Mumbai,Full-time
E100051,F,25,Graduate,Sales,Sales Executive,2018-12-30,M298,Delhi,Full-time
E100052,F,24,Graduate,Operations,Process Manager,2021-03-29,M216,Bangalore,Full-time
E100053,F,38,Graduate,IT,Data Analyst,2018-02-01,M346,Delhi,Full-time
E100054,M,37,Graduate,Finance,Accountant,2019-05-01,M298,Delhi,Full-time
E100055,F,34,Postgraduate,Sales,Sales Executive,2020-03-13,M341,Hyderabad,Full-time
E100056,M,31,Postgraduate,Operations,Operations Analyst,2019-01-21,M344,Mumbai,Full-time
E100057,M,23,Graduate,Operations,Process Manager,2023-01-27,M282,Mumbai,Full-time
E100058,F,34,Postgraduate,Finance,Financial Analyst,2018-05-26,M269,Delhi,Full-time
E100059,F,31,Postgraduate,Operations,Process Manager,2020-04-20,M238,Chennai,Full-time
E100060,M,41,Graduate,Operations,Process Manager,2020-05-28,M260,Bangalore,Full-time
E100061,F,38,Graduate,Sales,Sales Executive,2023-07-24,M316,Chennai,Full-time
E100062,M,42,Graduate,Operations,Process Manager,2023-01-30,M346,Delhi,Full-time
E100063,M,22,Graduate,IT,Software Engineer,2021-03-30,M317,Pune,Contract
E100064,F,37,Postgraduate,IT,QA Engineer,2019-11-02,M316,Hyderabad,Full-time
E100065,M,30,Graduate,HR,HR Business Partner,2018-06-24,M344,Bangalore,Full-time
E100066,M,24,Postgraduate,Finance,Financial Analyst,2019-07-14,M281,Pune,Full-time
E100067,F,39,Graduate,IT,Data Analyst,2017-01-10,M204,Bangalore,Full-time
E100068,M,42,Postgraduate,HR,HR Business Partner,2020-06-16,M285,Pune,Full-time
E100069,M,22,Graduate,Operations,Operations Analyst,2021-06-22,M254,Chennai,Full-time
E100070,F,42,Graduate,Operations,Operations Analyst,2021-07-27,M252,Mumbai,Full-time
E100071,M,40,Graduate,Sales,Sales Executive,2023-11-10,M203,Chennai,Contract
E100072,M,23,Graduate,HR,HR Business Partner,2022-11-13,M202,Pune,Full-time
E100073,M,38,Graduate,IT,Data Analyst,2017-08-24,M246,Mumbai,Full-time
E100074,F,23,Graduate,HR,HR Executive,2018-03-11,M297,Hyderabad,Full-time
E100075,F,27,Graduate,Sales,Sales Executive,2018-03-23,M278,Delhi,Full-time
E100076,F,25,Graduate,HR,HR Executive,2022-10-30,M344,Hyderabad,Full-time
E100077,F,42,Graduate,Finance,Accountant,2017-03-10,M325,Pune,Full-time
E100078,M,44,Graduate,Sales,Sales Executive,2022-11-29,M317,Delhi,Full-time
E100079,M,39,Graduate,IT,QA Engineer,2022-03-03,M250,Pune,Full-time
E100080,M,42,Graduate,HR,HR Business Partner,2018-11-13,M332,Bangalore,Full-time
E100081,M,30,Graduate,HR,HR Executive,2020-01-07,M246,Bangalore,Full-time
E100082,M,25,Postgraduate,Sales,Sales Executive,2017-02-17,M312,Pune,Full-time
E100083,M,34,Graduate,HR,HR Business Partner,2022-10-27,M255,Pune,Full-time
E100084,M,27,Graduate,Sales,Sales Executive,2021-03-12,M214,Bangalore,Full-time
E100085,M,28,Graduate,Finance,Accountant,2019-11-29,M325,Delhi,Full-time
E100086,F,24,Graduate,Operations,Process Manager,2022-09-04,M345,Delhi,Full-time
E100087,M,41,Graduate,HR,HR Executive,2023-10-09,M258,Mumbai,Full-time
E100088,M,27,Graduate,IT,Software Engineer,2020-12-31,M311,Delhi,Contract
E100089,M,26,Postgraduate,IT,QA Engineer,2017-08-31,M205,Hyderabad,Full-time
E100090,F,38,Graduate,Sales,Account Manager,2022-02-14,M261,Bangalore,Full-time
E100091,F,26,Graduate,Sales,Account Manager,2020-12-29,M317,Delhi,Full-time
E100092,M,35,Graduate,IT,Software Engineer,2022-12-28,M236,Chennai,Full-time
E100093,M,27,Graduate,Finance,Financial Analyst,2022-07-20,M209,Mumbai,Full-time
E100094,F,41,Graduate,Finance,Accountant,2022-08-23,M300,Bangalore,Full-time
E100095,M,24,Graduate,Sales,Sales Executive,2022-04-28,M248,Mumbai,Full-time
E100096,F,32,Postgraduate,Finance,Accountant,2017-11-30,M275,Pune,Full-time
E100097,M,30,Postgraduate,Finance,Accountant,2020-10-04,M259,Chennai,Full-time
E100098,M,25,Graduate,Operations,Operations Analyst,2017-03-19,M241,Bangalore,Full-time
E100099,M,36,Graduate,Sales,Sales Executive,2023-10-06,M344,Bangalore,Full-time
E100100,F,40,Graduate,HR,HR Business Partner,2019-04-01,M333,Pune,Full-time
E100101,F,41,Postgraduate,HR,HR Business Partner,2021-07-05,M237,Bangalore,Full-time
E100102,M,25,Graduate,Operations,Operations Analyst,2019-08-09,M209,Mumbai,Contract
E100103,M,25,Graduate,IT,Data Analyst,2022-04-17,M214,Mumbai,Full-time
E100104,F,23,Graduate,Operations,Operations Analyst,2023-06-30,M314,Pune,Full-time
E100105,F,31,Graduate,HR,HR Executive,2022-10-18,M333,Hyderabad,Contract
E100106,M,39,Graduate,Finance,Accountant,2022-12-29,M310,Delhi,Full-time
E100107,F,26,Postgraduate,Finance,Accountant,2020-09-09,M305,Bangalore,Full-time
E100108,M,35,Postgraduate,HR,HR Executive,2019-10-11,M210,Bangalore,Full-time
E100109,M,44,Postgraduate,Operations,Process Manager,2021-07-04,M262,Chennai,Full-time
E100110,M,41,Postgraduate,Operations,Operations Analyst,2020-08-25,M234,Delhi,Full-time
E100111,M,23,Postgraduate,Sales,Account Manager,2018-01-21,M327,Pune,Full-time
E100112,M,28,Graduate,Sales,Sales Executive,2020-04-20,M287,Bangalore,Full-time
E100113,M,38,Graduate,Sales,Account Manager,2023-01-13,M283,Bangalore,Full-time
E100114,M,28,Graduate,Finance,Financial Analyst,2021-09-21,M340,Chennai,Full-time
E100115,M,38,Graduate,Sales,Account Manager,2018-12-24,M229,Pune,Full-time
E100116,M,38,Graduate,Sales,Sales Executive,2017-07-13,M262,Delhi,Full-time
E100117,M,40,Graduate,Operations,Operations Analyst,2019-03-11,M323,Bangalore,Full-time
E100118,F,29,Graduate,Finance,Accountant,2020-04-16,M266,Pune,Full-time
E100119,M,35,Graduate,IT,QA Engineer,2020-07-11,M245,Pune,Contract
E100120,M,44,Postgraduate,Finance,Financial Analyst,2017-07-01,M206,Hyderabad,Full-time
E100121,M,39,Postgraduate,Operations,Operations Analyst,2019-07-04,M246,Mumbai,Full-time
E100122,M,44,Graduate,HR,HR Executive,2020-11-10,M204,Mumbai,Full-time
E100123,M,41,Postgraduate,IT,Data Analyst,2019-12-13,M307,Bangalore,Contract
E100124,M,39,Graduate,Sales,Account Manager,2017-05-08,M213,Bangalore,Full-time
E100125,F,35,Postgraduate,Operations,Operations Analyst,2021-11-17,M228,Mumbai,Full-time
E100126,M,25,Graduate,Operations,Operations Analyst,2022-12-16,M233,Bangalore,Full-time
E100127,M,43,Graduate,HR,HR Business Partner,2021-06-11,M256,Chennai,Full-time
E100128,F,28,Graduate,HR,HR Business Partner,2021-11-08,M344,Hyderabad,Full-time
E100129,M,43,Postgraduate,HR,HR Business Partner,2021-05-19,M250,Mumbai,Full-time
E100130,F,32,Graduate,HR,HR Executive,2017-05-29,M312,Pune,Full-time
E100131,M,43,Graduate,Sales,Account Manager,2017-04-08,M255,Bangalore,Full-time
E100132,F,38,Graduate,Finance,Financial Analyst,2021-10-29,M308,Pune,Full-time
E100133,M,29,Postgraduate,HR,HR Business Partner,2021-03-05,M260,Pune,Full-time
E100134,M,33,Postgraduate,IT,QA Engineer,2017-05-11,M301,Hyderabad,Full-time
E100135,F,44,Graduate,Operations,Process Manager,2019-11-07,M211,Chennai,Contract
E100136,F,37,Postgraduate,Sales,Account Manager,2021-10-17,M224,Hyderabad,Full-time
E100137,F,36,Graduate,Sales,Account Manager,2018-05-04,M215,Bangalore,Full-time
E100138,M,36,Postgraduate,Operations,Process Manager,2017-09-07,M336,Pune,Contract
E100139,F,41,Postgraduate,HR,HR Executive,2018-12-28,M345,Pune,Full-time
E100140,M,33,Graduate,IT,Data Analyst,2020-03-28,M297,Pune,Full-time
E100141,M,38,Graduate,HR,HR Executive,2017-12-30,M340,Hyderabad,Full-time
E100142,M,44,Graduate,Operations,Process Manager,2020-02-06,M233,Chennai,Full-time
E100143,F,24,Graduate,Operations,Operations Analyst,2020-07-21,M245,Delhi,Full-time
E100144,M,37,Postgraduate,IT,Software Engineer,2017-11-14,M320,Hyderabad,Full-time
E100145,M,39,Graduate,Finance,Financial Analyst,2022-08-13,M236,Bangalore,Full-time
E100146,M,38,Graduate,Operations,Process Manager,2022-06-22,M339,Pune,Contract
E100147,M,28,Postgraduate,Operations,Operations Analyst,2019-07-28,M245,Pune,Contract
E100148,M,41,Postgraduate,HR,HR Executive,2019-02-11,M253,Mumbai,Full-time
E100149,M,30,Graduate,HR,HR Executive,2017-08-14,M202,Chennai,Full-time
E100150,F,31,Graduate,IT,Software Engineer,2019-11-10,M281,Chennai,Contract
E100151,M,36,Graduate,Sales,Account Manager,2019-02-20,M267,Chennai,Contract
E100152,M,30,Graduate,Sales,Sales Executive,2019-08-10,M275,Hyderabad,Full-time
E100153,M,36,Graduate,IT,Software Engineer,2020-11-19,M332,Hyderabad,Full-time
E100154,F,26,Postgraduate,Operations,Process Manager,2021-09-08,M313,Mumbai,Full-time
E100155,M,23,Graduate,Operations,Operations Analyst,2020-09-08,M232,Chennai,Full-time
E100156,M,34,Postgraduate,Finance,Financial Analyst,2021-09-01,M299,Pune,Full-time
E100157,F,40,Postgraduate,Operations,Operations Analyst,2018-07-11,M337,Pune,Full-time
E100158,M,28,Graduate,HR,HR Business Partner,2018-08-12,M212,Chennai,Full-time
E100159,M,34,Postgraduate,IT,Software Engineer,2017-12-26,M269,Pune,Full-time
E100160,F,36,Postgraduate,HR,HR Executive,2020-06-01,M221,Delhi,Full-time
E100161,M,33,Graduate,Finance,Accountant,2019-01-01,M337,Chennai,Full-time
E100162,F,36,Postgraduate,HR,HR Business Partner,2023-03-08,M324,Delhi,Full-time
E100163,F,32,Postgraduate,Sales,Sales Executive,2022-10-28,M225,Hyderabad,Full-time
E100164,M,30,Graduate,Operations,Process Manager,2022-06-24,M318,Mumbai,Full-time
E100165,F,43,Graduate,Finance,Accountant,2021-09-07,M280,Chennai,Full-time
E100166,F,26,Graduate,Finance,Financial Analyst,2017-01-21,M205,Pune,Full-time
E100167,F,36,Postgraduate,Sales,Sales Executive,2018-07-24,M263,Bangalore,Full-time
E100168,M,29,Graduate,Finance,Accountant,2020-07-18,M344,Mumbai,Full-time
E100169,M,33,Graduate,Sales,Account Manager,2022-07-29,M259,Hyderabad,Full-time
E100170,M,33,Graduate,IT,Data Analyst,2023-03-04,M208,Chennai,Full-time
E100171,M,23,Postgraduate,Finance,Financial Analyst,2019-10-11,M338,Mumbai,Full-time
E100172,M,35,Postgraduate,Operations,Process Manager,2022-07-07,M231,Pune,Full-time
E100173,F,40,Graduate,IT,Data Analyst,2020-11-16,M344,Delhi,Contract
E100174,F,39,Graduate,Finance,Accountant,2018-12-15,M201,Bangalore,Full-time
E100175,M,28,Graduate,Operations,Process Manager,2022-12-04,M302,Hyderabad,Full-time
E100176,M,38,Postgraduate,HR,HR Executive,2017-04-16,M260,Pune,Contract
E100177,M,39,Postgraduate,IT,Data Analyst,2023-03-21,M271,Hyderabad,Full-time
E100178,F,28,Postgraduate,Finance,Accountant,2017-04-21,M331,Chennai,Full-time
E100179,M,31,Graduate,HR,HR Executive,2018-05-30,M211,Delhi,Full-time
E100180,M,35,Graduate,Operations,Operations Analyst,2022-12-10,M335,Mumbai,Full-time
E100181,F,43,Graduate,Sales,Account Manager,2022-06-13,M255,Bangalore,Full-time
E100182,F,43,Graduate,Finance,Accountant,2019-01-25,M296,Delhi,Full-time
E100183,F,41,Graduate,Operations,Operations Analyst,2022-06-01,M307,Chennai,Contract
E100184,M,42,Graduate,HR,HR Executive,2018-08-31,M265,Hyderabad,Full-time
E100185,M,33,Graduate,HR,HR Executive,2020-10-26,M217,Mumbai,Full-time
E100186,F,44,Graduate,Sales,Account Manager,2022-11-18,M213,Chennai,Full-time
E100187,M,36,Graduate,Operations,Operations Analyst,2018-07-07,M283,Hyderabad,Full-time
E100188,M,24,Postgraduate,IT,QA Engineer,2022-08-03,M244,Pune,Contract
E100189,F,30,Graduate,HR,HR Executive,2021-12-07,M219,Pune,Contract
E100190,M,32,Postgraduate,IT,Data Analyst,2022-06-27,M248,Bangalore,Full-time
E100191,M,41,Graduate,Finance,Financial Analyst,2021-10-09,M329,Bangalore,Full-time
E100192,M,26,Postgraduate,Finance,Accountant,2022-12-07,M268,Bangalore,Full-time
E100193,F,32,Graduate,Finance,Accountant,2017-10-03,M249,Mumbai,Contract
E100194,F,41,Graduate,Sales,Account Manager,2019-07-08,M325,Mumbai,Full-time
E100195,F,39,Graduate,HR,HR Business Partner,2019-06-11,M207,Mumbai,Full-time
E100196,M,22,Postgraduate,Operations,Operations Analyst,2017-03-27,M313,Hyderabad,Full-time
E100197,F,25,Postgraduate,IT,QA Engineer,2022-02-07,M346,Chennai,Full-time
E100198,M,30,Postgraduate,Operations,Operations Analyst,2019-10-07,M288,Mumbai,Full-time
E100199,M,23,Graduate,Operations,Operations Analyst,2018-05-04,M331,Chennai,Full-time
E100200,F,40,Postgraduate,HR,HR Business Partner,2023-09-11,M328,Chennai,Full-time
E100201,M,40,Graduate,IT,Software Engineer,2018-12-12,M248,Bangalore,Full-time
E100202,M,24,Graduate,HR,HR Executive,2019-08-20,M271,Hyderabad,Full-time
E100203,M,26,Graduate,Operations,Operations Analyst,2020-03-23,M236,Delhi,Full-time
E100204,F,39,Postgraduate,Sales,Account Manager,2023-07-19,M220,Pune,Full-time
E100205,M,32,Graduate,Operations,Process Manager,2023-09-13,M267,Mumbai,Full-time
E100206,M,37,Graduate,Sales,Account Manager,2020-09-19,M226,Mumbai,Full-time
E100207,M,39,Graduate,Sales,Account Manager,2017-04-16,M276,Delhi,Full-time
E100208,M,28,Graduate,Sales,Sales Executive,2019-11-29,M241,Delhi,Full-time
E100209,M,34,Graduate,IT,Software Engineer,2020-10-17,M317,Mumbai,Contract
E100210,F,31,Postgraduate,IT,Data Analyst,2018-06-05,M248,Hyderabad,Full-time
E100211,F,31,Graduate,Finance,Accountant,2017-05-26,M268,Bangalore,Full-time
E100212,M,43,Graduate,HR,HR Executive,2018-09-23,M342,Pune,Full-time
E100213,M,23,Graduate,Sales,Account Manager,2019-08-27,M206,Mumbai,Full-time
E100214,F,35,Graduate,HR,HR Business Partner,2023-11-12,M301,Hyderabad,Contract
E100215,M,22,Graduate,Operations,Process Manager,2017-02-05,M272,Bangalore,Full-time
E100216,M,23,Postgraduate,IT,QA Engineer,2018-12-09,M226,Mumbai,Full-time
E100217,M,43,Postgraduate,HR,HR Executive,2023-08-26,M201,Chennai,Full-time
E100218,M,43,Graduate,HR,HR Executive,2021-12-27,M235,Mumbai,Full-time
E100219,M,44,Postgraduate,IT,QA Engineer,2017-07-27,M344,Delhi,Contract
E100220,M,40,Graduate,Sales,Account Manager,2017-08-25,M204,Delhi,Contract
E100221,M,27,Graduate,Finance,Financial Analyst,2017-10-13,M231,Bangalore,Full-time
E100222,F,35,Graduate,Finance,Accountant,2021-03-04,M313,Mumbai,Full-time
E100223,M,22,Graduate,Operations,Process Manager,2022-07-04,M254,Chennai,Contract
E100224,M,41,Graduate,Sales,Sales Executive,2017-12-08,M248,Hyderabad,Full-time
E100225,F,24,Postgraduate,Operations,Operations Analyst,2021-08-21,M213,Bangalore,Full-time
E100226,M,35,Postgraduate,Sales,Account Manager,2017-05-10,M209,Bangalore,Full-time
E100227,F,35,Graduate,Operations,Process Manager,2020-08-05,M279,Chennai,Full-time
E100228,M,34,Graduate,Finance,Financial Analyst,2023-12-06,M335,Mumbai,Full-time
E100229,M,33,Postgraduate,IT,QA Engineer,2021-05-23,M295,Delhi,Full-time
E100230,F,32,Graduate,Finance,Accountant,2022-01-26,M259,Pune,Full-time
E100231,M,23,Graduate,Operations,Operations Analyst,2022-05-08,M255,Bangalore,Full-time
E100232,M,35,Graduate,IT,QA Engineer,2017-05-29,M279,Delhi,Full-time
E100233,F,28,Graduate,Finance,Financial Analyst,2021-04-25,M251,Delhi,Full-time
E100234,F,24,Graduate,HR,HR Executive,2021-02-17,M291,Chennai,Full-time
E100235,M,42,Graduate,Operations,Operations Analyst,2018-05-25,M278,Mumbai,Full-time
E100236,M,34,Graduate,HR,HR Business Partner,2020-12-17,M281,Mumbai,Contract
E100237,M,42,Postgraduate,Finance,Financial Analyst,2018-05-12,M316,Hyderabad,Full-time
E100238,F,29,Postgraduate,HR,HR Business Partner,2018-09-16,M241,Mumbai,Contract
E100239,F,30,Postgraduate,IT,Software Engineer,2023-02-18,M329,Delhi,Full-time
E100240,M,29,Graduate,IT,Data Analyst,2017-08-30,M233,Pune,Full-time
E100241,F,26,Postgraduate,IT,QA Engineer,2019-05-06,M286,Mumbai,Full-time
E100242,F,40,Graduate,IT,QA Engineer,2022-09-22,M216,Mumbai,Full-time
E100243,F,41,Postgraduate,HR,HR Executive,2018-01-01,M334,Pune,Full-time
E100244,M,43,Postgraduate,Sales,Account Manager,2020-07-08,M263,Hyderabad,Full-time
E100245,F,29,Graduate,Finance,Financial Analyst,2020-05-31,M248,Delhi,Full-time
E100246,M,39,Graduate,IT,Software Engineer,2017-08-05,M339,Pune,Contract
E100247,F,23,Graduate,Operations,Operations Analyst,2023-01-17,M214,Bangalore,Contract
E100248,M,39,Postgraduate,IT,Software Engineer,2018-05-03,M231,Pune,Contract
E100249,F,44,Postgraduate,Operations,Operations Analyst,2022-12-10,M211,Bangalore,Full-time
E100250,F,35,Postgraduate,Operations,Operations Analyst,2022-04-12,M285,Chennai,Contract
E100251,M,36,Graduate,Finance,Financial Analyst,2019-02-09,M249,Pune,Full-time
E100252,M,22,Graduate,Finance,Financial Analyst,2023-05-15,M317,Pune,Full-time
E100253,F,36,Graduate,Finance,Financial Analyst,2020-07-28,M343,Bangalore,Full-time
E100254,M,31,Postgraduate,Sales,Sales Executive,2022-04-08,M209,Mumbai,Full-time
E100255,F,41,Graduate,Sales,Sales Executive,2022-11-30,M289,Hyderabad,Full-time
E100256,F,42,Graduate,IT,Data Analyst,2019-11-04,M274,Pune,Full-time
E100257,M,25,Postgraduate,Sales,Sales Executive,2018-11-29,M223,Chennai,Full-time
E100258,M,28,Graduate,Operations,Process Manager,2021-02-01,M237,Chennai,Full-time
E100259,M,25,Graduate,IT,Software Engineer,2023-05-10,M202,Mumbai,Full-time
E100260,M,40,Graduate,Finance,Accountant,2017-06-11,M259,Pune,Full-time
E100261,M,27,Graduate,Sales,Account Manager,2018-10-26,M299,Pune,Full-time
E100262,F,22,Graduate,Finance,Accountant,2017-07-02,M315,Bangalore,Full-time
E100263,F,43,Graduate,Sales,Sales Executive,2019-08-29,M344,Chennai,Full-time
E100264,F,32,Postgraduate,Sales,Sales Executive,2021-09-30,M289,Mumbai,Full-time
E100265,M,32,Graduate,Operations,Process Manager,2022-09-29,M317,Mumbai,Full-time
E100266,F,40,Graduate,Sales,Sales Executive,2020-12-20,M263,Mumbai,Full-time
E100267,M,27,Graduate,Operations,Process Manager,2018-12-05,M325,Hyderabad,Contract
E100268,M,33,Graduate,IT,Data Analyst,2020-04-20,M230,Delhi,Full-time
E100269,M,43,Graduate,Finance,Financial Analyst,2020-12-02,M213,Hyderabad,Full-time
E100270,M,30,Graduate,HR,HR Executive,2017-07-24,M306,Delhi,Full-time
E100271,M,28,Graduate,Sales,Sales Executive,2023-02-22,M342,Hyderabad,Full-time
E100272,M,28,Graduate,Sales,Account Manager,2021-02-04,M319,Chennai,Full-time
E100273,M,44,Graduate,HR,HR Executive,2020-01-11,M248,Pune,Full-time
E100274,M,30,Graduate,Operations,Process Manager,2022-04-16,M316,Delhi,Full-time
E100275,M,38,Postgraduate,IT,QA Engineer,2018-08-21,M260,Hyderabad,Full-time
E100276,F,38,Graduate,Sales,Sales Executive,2023-10-07,M297,Bangalore,Full-time
E100277,F,23,Graduate,Operations,Process Manager,2022-09-01,M343,Pune,Full-time
E100278,F,31,Postgraduate,Finance,Accountant,2020-08-10,M262,Bangalore,Full-time
E100279,M,35,Postgraduate,Operations,Process Manager,2020-03-23,M342,Mumbai,Full-time
E100280,M,30,Graduate,Finance,Accountant,2019-02-21,M227,Hyderabad,Full-time
E100281,M,29,Graduate,HR,HR Executive,2021-11-19,M241,Delhi,Full-time
E100282,M,40,Graduate,Finance,Financial Analyst,2023-08-24,M210,Delhi,Full-time
E100283,M,42,Graduate,Finance,Accountant,2020-08-13,M336,Chennai,Full-time
E100284,M,23,Graduate,HR,HR Business Partner,2018-04-13,M330,Mumbai,Contract
E100285,M,22,Graduate,HR,HR Executive,2017-02-09,M207,Mumbai,Full-time
E100286,F,35,Graduate,Sales,Sales Executive,2023-04-27,M231,Bangalore,Full-time
E100287,M,34,Graduate,IT,QA Engineer,2022-03-26,M301,Hyderabad,Full-time
E100288,M,25,Postgraduate,Sales,Sales Executive,2021-04-10,M325,Chennai,Full-time
E100289,F,39,Graduate,Operations,Process Manager,2017-09-22,M259,Delhi,Contract
E100290,M,42,Graduate,HR,HR Executive,2020-10-19,M330,Delhi,Full-time
E100291,F,22,Graduate,HR,HR Business Partner,2023-01-13,M233,Bangalore,Full-time
E100292,F,37,Graduate,HR,HR Business Partner,2020-01-04,M216,Mumbai,Full-time
E100293,M,37,Graduate,Sales,Sales Executive,2017-10-16,M246,Chennai,Contract
E100294,M,24,Postgraduate,Finance,Financial Analyst,2019-08-26,M246,Chennai,Full-time
E100295,M,35,Postgraduate,Operations,Operations Analyst,2020-08-29,M344,Bangalore,Full-time
E100296,F,27,Postgraduate,Operations,Operations Analyst,2023-03-08,M290,Hyderabad,Full-time
E100297,M,40,Postgraduate,Finance,Financial Analyst,2019-04-20,M277,Pune,Full-time
E100298,F,43,Postgraduate,IT,Data Analyst,2017-06-03,M282,Chennai,Contract
E100299,M,28,Graduate,HR,HR Executive,2023-05-21,M272,Pune,Full-time
E100300,M,42,Graduate,IT,QA Engineer,2018-02-02,M229,Bangalore,Full-time
E100301,M,24,Graduate,Finance,Financial Analyst,2021-08-05,M277,Chennai,Full-time
E100302,F,30,Graduate,Sales,Account Manager,2019-09-15,M285,Bangalore,Contract
E100303,M,24,Graduate,Operations,Process Manager,2023-10-16,M249,Mumbai,Full-time
E100304,M,33,Graduate,Operations,Process Manager,2020-07-23,M336,Delhi,Contract
E100305,M,34,Postgraduate,HR,HR Business Partner,2023-12-03,M275,Chennai,Full-time
E100306,M,43,Graduate,IT,QA Engineer,2022-09-05,M250,Chennai,Full-time
E100307,F,25,Graduate,Operations,Operations Analyst,2017-05-12,M266,Chennai,Full-time
E100308,M,44,Graduate,HR,HR Executive,2020-10-16,M344,Mumbai,Full-time
E100309,M,22,Graduate,HR,HR Executive,2021-01-30,M308,Bangalore,Full-time
E100310,M,34,Graduate,Sales,Account Manager,2022-02-19,M248,Chennai,Full-time
E100311,M,28,Postgraduate,Sales,Account Manager,2019-06-11,M261,Hyderabad,Full-time
E100312,M,30,Postgraduate,IT,Software Engineer,2020-09-29,M220,Pune,Contract
E100313,F,35,Postgraduate,IT,QA Engineer,2018-02-01,M276,Chennai,Full-time
