employee_id,review_year,performance_rating,promotion_flag
E100047,2019,5,No
E100048,2023,2,No
E100048,2024,3,No
E100048,2025,3,Yes
E100048,2026,3,No
E100049,2017,4,No
E100049,2018,4,No
E100049,2019,5,No
E100049,2020,2,No
E100050,2021,3,No
E100050,2022,2,No
E100050,2023,3,No
E100051,2018,2,No
E100051,2019,2,Yes
E100052,2021,3,No
E100052,2022,3,No
E100053,2018,4,No
E100053,2019,4,No
E100053,2020,2,No
E100053,2021,4,Yes
E100054,2019,3,No
E100055,2020,5,Yes
E100056,2019,4,No
E100056,2020,3,No
E100057,2023,2,No
E100058,2018,3,No
E100058,2019,3,No
E100058,2020,3,No
E100058,2021,2,No
E100059,2020,5,No
E100059,2021,4,No
E100060,2020,4,No
E100060,2021,3,No
E100060,2022,4,No
E100060,2023,4,Yes
E100061,2023,4,No
E100061,2024,3,Yes
E100062,2023,3,No
E100063,2021,4,No
E100063,2022,2,No
E100064,2019,4,No
E100065,2018,5,No
E100066,2019,4,No
E100066,2020,3,No
E100066,2021,3,No
E100066,2022,3,No
E100067,2017,4,No
E100068,2020,4,No
E100069,2021,3,No
E100070,2021,4,Yes
E100070,2022,4,No
E100071,2023,2,Yes
E100071,2024,4,No
E100072,2022,3,No
E100073,2017,5,No
E100073,2018,3,No
E100073,2019,4,No
E100073,2020,3,No
E100074,2018,2,No
E100074,2019,5,No
E100075,2018,4,No
E100075,2019,4,No
E100076,2022,3,No
E100076,2023,2,No
E100076,2024,3,No
E100077,2017,4,No
E100078,2022,5,Yes
E100078,2023,3,No
E100078,2024,4,No
E100078,2025,3,No
E100079,2022,3,No
E100079,2023,4,No
E100080,2018,4,No
E100080,2019,5,No
E100080,2020,2,No
E100081,2020,3,No
E100081,2021,3,No
E100082,2017,3,No
E100082,2018,3,No
E100082,2019,3,No
E100083,2022,2,No
E100084,2021,5,No
E100084,2022,3,No
E100085,2019,4,No
E100085,2020,2,Yes
E100085,2021,3,Yes
E100085,2022,5,No
E100086,2022,3,Yes
E100086,2023,2,No
E100086,2024,5,No
E100087,2023,2,Yes
E100087,2024,2,No
E100087,2025,5,No
E100087,2026,4,No
E100088,2020,3,No
E100089,2017,4,No
E100089,2018,5,No
E100089,2019,4,Yes
E100090,2022,3,No
E100091,2020,5,No
E100091,2021,3,No
E100092,2022,4,No
E100092,2023,3,No
E100092,2024,3,No
E100093,2022,4,No
E100094,2022,5,No
E100094,2023,5,Yes
E100094,2024,3,No
E100095,2022,3,No
E100095,2023,3,No
E100095,2024,3,No
E100096,2017,4,No
E100096,2018,3,No
E100096,2019,3,No
E100096,2020,4,No
E100097,2020,4,No
E100097,2021,4,No
E100097,2022,4,Yes
E100097,2023,3,No
E100098,2017,2,No
E100098,2018,3,No
E100099,2023,3,No
E100099,2024,3,Yes
E100100,2019,4,No
E100101,2021,3,No
E100101,2022,3,No
E100101,2023,2,No
E100101,2024,2,Yes
E100102,2019,3,No
E100102,2020,3,No
E100102,2021,3,No
E100102,2022,3,No
E100103,2022,4,Yes
E100103,2023,3,No
E100103,2024,4,No
E100103,2025,4,No
E100104,2023,4,No
E100104,2024,2,No
E100104,2025,3,Yes
E100104,2026,3,No
E100105,2022,4,No
E100105,2023,3,No
E100106,2022,3,No
E100106,2023,3,No
E100107,2020,3,No
E100107,2021,2,No
E100107,2022,5,No
E100108,2019,2,No
E100108,2020,3,Yes
E100109,2021,3,Yes
E100110,2020,3,No
E100110,2021,4,Yes
E100110,2022,4,No
E100110,2023,4,No
E100111,2018,3,No
E100111,2019,3,No
E100111,2020,3,Yes
E100112,2020,5,No
E100112,2021,4,No
E100112,2022,4,No
E100112,2023,3,No
E100113,2023,4,No
E100113,2024,2,No
E100114,2021,2,Yes
E100114,2022,4,No
E100114,2023,4,No
E100114,2024,5,No
E100115,2018,4,No
E100116,2017,3,No
E100116,2018,4,No
E100116,2019,3,No
E100116,2020,3,No
E100117,2019,4,No
E100117,2020,4,No
E100117,2021,4,No
E100117,2022,4,No
E100118,2020,3,No
E100119,2020,4,No
E100119,2021,5,No
E100119,2022,4,No
E100119,2023,4,Yes
E100120,2017,5,No
E100121,2019,4,No
E100121,2020,3,Yes
E100121,2021,3,No
E100122,2020,4,No
E100122,2021,2,No
E100123,2019,4,No
E100123,2020,3,Yes
E100123,2021,2,No
E100123,2022,3,No
E100124,2017,4,No
E100124,2018,4,No
E100124,2019,4,Yes
E100125,2021,5,No
E100125,2022,4,No
E100125,2023,4,No
E100125,2024,5,No
E100126,2022,4,No
E100127,2021,4,No
E100128,2021,4,No
E100128,2022,4,No
E100129,2021,4,No
E100129,2022,4,Yes
E100129,2023,3,No
E100129,2024,3,Yes
E100130,2017,4,No
E100130,2018,4,No
E100130,2019,4,No
E100131,2017,4,No
E100131,2018,3,No
E100132,2021,4,No
E100132,2022,3,No
E100132,2023,3,No
E100132,2024,2,No
E100133,2021,3,No
E100133,2022,3,No
E100133,2023,4,No
E100133,2024,2,No
E100134,2017,3,No
E100134,2018,4,No
E100134,2019,3,No
E100134,2020,4,No
E100135,2019,3,No
E100136,2021,2,No
E100136,2022,4,Yes
E100137,2018,2,No
E100137,2019,5,No
E100137,2020,2,No
E100138,2017,2,No
E100139,2018,4,No
E100139,2019,3,No
E100140,2020,4,No
E100140,2021,4,No
E100140,2022,4,No
E100140,2023,4,No
E100141,2017,5,No
E100142,2020,3,No
E100142,2021,4,No
E100143,2020,3,No
E100144,2017,3,No
E100144,2018,4,Yes
E100144,2019,2,No
E100144,2020,3,No
E100145,2022,2,No
E100145,2023,3,No
E100146,2022,4,No
E100147,2019,3,No
E100147,2020,3,No
E100147,2021,2,No
E100147,2022,4,No
E100148,2019,5,No
E100148,2020,3,No
E100148,2021,3,No
E100149,2017,5,No
E100149,2018,3,No
E100149,2019,5,No
E100149,2020,5,Yes
E100150,2019,3,No
E100150,2020,2,No
E100150,2021,2,No
E100150,2022,2,No
E100151,2019,4,No
E100151,2020,4,No
E100151,2021,3,No
E100151,2022,5,No
E100152,2019,3,No
E100152,2020,4,No
E100153,2020,3,No
E100153,2021,3,No
E100154,2021,4,No
E100154,2022,3,No
E100154,2023,5,Yes
E100155,2020,4,No
E100155,2021,4,No
E100155,2022,3,No
E100155,2023,3,No
E100156,2021,5,No
E100156,2022,4,No
E100156,2023,2,No
E100156,2024,4,No
E100157,2018,3,No
E100157,2019,3,No
E100157,2020,3,No
E100157,2021,5,No
E100158,2018,4,No
E100158,2019,5,Yes
E100158,2020,3,No
E100159,2017,4,No
E100159,2018,5,No
E100159,2019,4,No
E100160,2020,4,Yes
E100160,2021,3,No
E100161,2019,2,No
E100161,2020,2,No
E100161,2021,4,No
E100162,2023,4,No
E100162,2024,3,No
E100162,2025,3,No
E100163,2022,5,No
E100163,2023,2,No
E100164,2022,3,Yes
E100165,2021,4,No
E100165,2022,5,No
E100165,2023,4,No
E100165,2024,3,No
E100166,2017,4,No
E100167,2018,3,No
E100168,2020,4,No
E100168,2021,3,No
E100168,2022,3,No
E100168,2023,5,No
E100169,2022,3,No
E100169,2023,2,No
E100169,2024,2,No
E100170,2023,4,No
E100170,2024,3,No
E100170,2025,4,No
E100171,2019,4,No
E100171,2020,4,No
E100171,2021,5,No
E100171,2022,5,No
E100172,2022,5,No
E100173,2020,5,No
E100173,2021,4,No
E100173,2022,3,Yes
E100174,2018,3,No
E100174,2019,3,Yes
E100174,2020,4,No
E100174,2021,4,No
E100175,2022,4,No
E100175,2023,3,No
E100175,2024,5,No
E100175,2025,4,No
E100176,2017,4,Yes
E100176,2018,4,No
E100176,2019,3,No
E100177,2023,2,No
E100177,2024,4,No
E100177,2025,3,No
E100177,2026,4,No
E100178,2017,3,Yes
E100179,2018,2,No
E100179,2019,3,No
E100179,2020,4,No
E100179,2021,3,No
E100180,2022,2,Yes
E100180,2023,4,No
E100180,2024,4,No
E100180,2025,3,No
E100181,2022,4,No
E100181,2023,4,No
E100181,2024,3,No
E100182,2019,4,Yes
E100182,2020,2,Yes
E100182,2021,4,No
E100183,2022,4,No
E100183,2023,4,No
E100184,2018,4,No
E100184,2019,5,No
E100185,2020,2,No
E100185,2021,2,No
E100186,2022,2,No
E100186,2023,4,No
E100186,2024,4,No
E100186,2025,5,No
E100187,2018,4,Yes
E100187,2019,5,Yes
E100188,2022,3,No
E100189,2021,3,No
E100189,2022,4,No
E100189,2023,4,No
E100190,2022,3,No
E100190,2023,4,No
E100190,2024,2,No
E100191,2021,5,No
E100192,2022,4,No
E100192,2023,5,No
E100193,2017,4,No
E100194,2019,3,No
E100195,2019,4,No
E100195,2020,3,No
E100196,2017,3,No
E100196,2018,4,No
E100196,2019,3,No
E100196,2020,2,No
E100197,2022,2,No
E100197,2023,4,Yes
E100197,2024,2,No
E100197,2025,3,No
E100198,2019,3,No
E100198,2020,2,No
E100199,2018,4,No
E100200,2023,3,No
E100200,2024,3,No
E100200,2025,3,No
E100200,2026,4,No
E100201,2018,3,No
E100201,2019,5,No
E100201,2020,4,No
E100201,2021,3,No
E100202,2019,5,No
E100202,2020,4,No
E100203,2020,3,No
E100203,2021,5,No
E100203,2022,5,No
E100203,2023,4,No
E100204,2023,3,No
E100204,2024,3,No
E100204,2025,5,No
E100205,2023,3,No
E100205,2024,4,No
E100205,2025,4,No
E100205,2026,3,No
E100206,2020,4,No
E100206,2021,2,No
E100206,2022,4,No
E100207,2017,3,No
E100207,2018,4,No
E100207,2019,3,No
E100207,2020,4,No
E100208,2019,3,No
E100209,2020,4,No
E100209,2021,5,No
E100210,2018,2,No
E100210,2019,5,No
E100211,2017,2,No
E100211,2018,3,No
E100211,2019,4,No
E100212,2018,5,No
E100212,2019,4,No
E100212,2020,4,No
E100212,2021,3,No
E100213,2019,3,No
E100213,2020,4,No
E100214,2023,4,Yes
E100214,2024,3,No
E100214,2025,5,Yes
E100215,2017,4,No
E100216,2018,4,No
E100216,2019,3,No
E100216,2020,2,No
E100217,2023,3,No
E100218,2021,3,No
E100218,2022,4,No
E100218,2023,3,No
E100219,2017,4,No
E100220,2017,2,No
E100220,2018,4,No
E100221,2017,3,Yes
E100221,2018,4,No
E100221,2019,4,No
E100221,2020,4,No
E100222,2021,4,No
E100223,2022,2,Yes
E100223,2023,5,No
E100223,2024,3,No
E100224,2017,3,No
E100224,2018,2,No
E100224,2019,3,No
E100224,2020,2,Yes
E100225,2021,4,No
E100225,2022,3,No
E100225,2023,4,No
E100225,2024,3,No
E100226,2017,3,Yes
E100227,2020,4,No
E100227,2021,5,No
E100227,2022,4,No
E100227,2023,4,Yes
E100228,2023,2,No
E100228,2024,4,No
E100228,2025,4,No
E100228,2026,4,No
E100229,2021,3,No
E100229,2022,4,No
E100229,2023,4,No
E100230,2022,5,No
E100230,2023,3,Yes
E100231,2022,4,No
E100232,2017,2,Yes
E100232,2018,5,No
E100233,2021,4,No
E100234,2021,4,No
E100235,2018,2,No
E100236,2020,2,Yes
E100236,2021,4,No
E100237,2018,4,Yes
E100238,2018,3,Yes
E100238,2019,4,No
E100238,2020,4,No
E100238,2021,4,No
E100239,2023,3,No
E100239,2024,2,No
E100240,2017,3,No
E100240,2018,4,No
E100241,2019,3,No
E100241,2020,3,No
E100241,2021,5,No
E100241,2022,3,No
E100242,2022,2,No
E100242,2023,2,No
E100242,2024,3,No
E100242,2025,3,No
E100243,2018,5,No
E100243,2019,5,No
E100243,2020,5,Yes
E100243,2021,2,No
E100244,2020,4,Yes
E100244,2021,3,No
E100244,2022,2,No
E100244,2023,4,No
E100245,2020,4,No
E100245,2021,4,No
E100245,2022,5,No
E100246,2017,4,No
E100246,2018,3,No
E100246,2019,3,No
E100246,2020,3,No
E100247,2023,3,No
E100247,2024,5,No
E100247,2025,5,No
E100247,2026,4,No
E100248,2018,2,No
E100249,2022,2,No
E100249,2023,4,No
E100250,2022,4,No
E100251,2019,4,Yes
E100251,2020,4,No
E100252,2023,3,No
E100252,2024,2,No
E100252,2025,2,Yes
E100253,2020,3,No
E100253,2021,2,Yes
E100253,2022,4,No
E100254,2022,2,No
E100254,2023,3,No
E100255,2022,5,Yes
E100256,2019,4,No
E100256,2020,5,No
E100256,2021,4,No
E100257,2018,3,No
E100258,2021,5,No
E100258,2022,3,No
E100258,2023,4,Yes
E100258,2024,3,No
E100259,2023,4,No
E100260,2017,2,No
E100260,2018,5,No
E100261,2018,5,No
E100261,2019,3,No
E100262,2017,3,Yes
E100262,2018,3,Yes
E100263,2019,4,No
E100263,2020,3,No
E100264,2021,2,No
E100264,2022,4,No
E100264,2023,3,No
E100265,2022,2,No
E100266,2020,3,No
E100266,2021,2,No
E100266,2022,5,No
E100266,2023,5,No
E100267,2018,4,No
E100267,2019,3,Yes
E100268,2020,3,No
E100268,2021,3,No
E100268,2022,4,No
E100269,2020,4,No
E100269,2021,2,No
E100269,2022,2,No
E100269,2023,4,No
E100270,2017,4,No
E100270,2018,5,No
E100270,2019,3,No
E100270,2020,2,No
E100271,2023,4,No
E100271,2024,3,No
E100271,2025,4,No
E100271,2026,4,No
E100272,2021,2,No
E100272,2022,3,No
E100273,2020,4,No
E100274,2022,4,No
E100274,2023,3,No
E100275,2018,2,No
E100275,2019,3,No
E100275,2020,3,No
E100275,2021,3,No
E100276,2023,4,No
E100277,2022,3,Yes
E100277,2023,3,No
E100277,2024,4,No
E100278,2020,2,No
E100279,2020,3,No
E100279,2021,2,Yes
E100279,2022,2,No
E100279,2023,3,No
E100280,2019,5,No
E100280,2020,4,No
E100280,2021,4,No
E100281,2021,3,No
E100282,2023,4,No
E100282,2024,4,No
E100283,2020,4,No
E100283,2021,2,No
E100283,2022,3,No
E100283,2023,4,No
E100284,2018,3,No
E100284,2019,4,No
E100285,2017,4,No
E100285,2018,3,No
E100286,2023,3,No
E100286,2024,3,No
E100286,2025,4,No
E100287,2022,4,No
E100287,2023,2,No
E100287,2024,4,No
E100287,2025,3,No
E100288,2021,4,Yes
E100289,2017,3,No
E100289,2018,3,No
E100289,2019,4,No
E100289,2020,3,No
E100290,2020,2,No
E100290,2021,5,No
E100290,2022,4,No
E100290,2023,4,No
E100291,2023,4,No
E100291,2024,3,No
E100291,2025,5,No
E100291,2026,2,No
E100292,2020,3,No
E100292,2021,3,No
E100292,2022,2,No
E100292,2023,3,No
E100293,2017,2,No
E100293,2018,4,No
E100293,2019,4,No
E100293,2020,3,No
E100294,2019,2,No
E100294,2020,5,No
E100294,2021,4,No
E100295,2020,5,No
E100295,2021,4,No
E100296,2023,3,No
E100296,2024,3,No
E100296,2025,3,No
E100296,2026,3,No
E100297,2019,4,No
E100298,2017,3,No
E100298,2018,4,No
E100298,2019,5,No
E100298,2020,4,No
E100299,2023,4,No
E100299,2024,5,Yes
E100299,2025,4,No
E100299,2026,4,No
E100300,2018,3,No
E100300,2019,3,No
E100301,2021,4,No
E100301,2022,4,No
E100301,2023,4,Yes
E100301,2024,3,No
E100302,2019,2,No
E100302,2020,4,No
E100302,2021,4,Yes
E100303,2023,2,No
E100303,2024,5,No
E100303,2025,2,Yes
E100303,2026,4,No
E100304,2020,4,No
E100304,2021,3,No
E100304,2022,3,No
E100304,2023,3,No
E100305,2023,3,No
E100306,2022,3,No
E100306,2023,4,No
E100306,2024,2,No
E100306,2025,5,No
E100307,2017,4,No
E100307,2018,2,No
E100308,2020,3,No
E100309,2021,3,No
E100310,2022,4,No
E100310,2023,4,No
E100310,2024,4,No
E100310,2025,5,No
E100311,2019,5,No
E100311,2020,3,No
E100311,2021,5,No
E100312,2020,5,No
E100312,2021,2,No
E100312,2022,4,No
E100312,2023,3,No
E100313,2018,4,Yes
E100313,2019,3,No
E100313,2020,3,No
E100314,2018,4,No
E100314,2019,3,No
E100315,2018,4,No
E100315,2019,5,No
E100316,2018,4,No
E100316,2019,4,No
E100316,2020,4,No
E100316,2021,5,No
E100317,2022,2,No
E100317,2023,3,No
E100318,2021,2,No
E100319,2017,4,No
E100320,2020,5,No
E100320,2021,3,Yes
E100320,2022,5,No
E100321,2022,4,No
E100322,2022,4,No
E100322,2023,4,No
E100323,2021,4,No
E100323,2022,4,No
E100323,2023,4,No
E100323,2024,4,No
E100324,2023,4,No
E100324,2024,4,No
E100324,2025,2,No
E100325,2019,2,No
E100325,2020,3,Yes
E100326,2022,3,No
E100327,2017,4,No
E100328,2021,5,No
E100328,2022,5,No
E100328,2023,4,No
E100328,2024,4,No
E100329,2022,4,No
E100329,2023,5,No
E100329,2024,5,No
E100329,2025,2,No
E100330,2023,3,No
E100331,2018,2,No
E100331,2019,5,No
E100331,2020,3,No
E100332,2019,5,No
E100332,2020,3,No
E100332,2021,2,No
E100333,2017,4,No
E100333,2018,3,No
E100333,2019,3,No
E100333,2020,4,No
E100334,2022,3,No
E100334,2023,3,No
E100334,2024,4,No
E100334,2025,3,No
E100335,2018,5,Yes
E100335,2019,3,No
E100335,2020,5,No
E100335,2021,3,No
E100336,2021,2,No
E100337,2018,4,No
E100337,2019,5,No
E100337,2020,3,No
E100338,2017,2,No
E100338,2018,3,No
E100339,2020,4,Yes
E100339,2021,4,No
E100340,2018,4,No
E100341,2018,3,No
E100341,2019,3,No
E100341,2020,3,No
E100341,2021,5,No
E100342,2017,5,No
E100342,2018,5,No
E100342,2019,3,No
E100343,2017,3,No
E100344,2022,5,No
E100344,2023,3,No
E100344,2024,2,No
E100345,2022,3,Yes
E100345,2023,3,No
E100345,2024,4,No
E100346,2018,3,No
E100346,2019,3,No
E100346,2020,3,No
E100347,2021,3,No
E100347,2022,5,No
E100347,2023,5,No
E100347,2024,3,No
E100348,2020,4,No
E100349,2021,2,No
E100349,2022,2,No
E100349,2023,4,Yes
E100350,2021,5,No
E100350,2022,5,No
E100350,2023,5,No
E100351,2021,3,No
E100351,2022,3,No
E100351,2023,2,No
E100351,2024,4,No
E100352,2022,4,No
E100353,2022,3,Yes
E100353,2023,3,No
E100353,2024,5,No
E100353,2025,3,No
E100354,2022,4,No
E100354,2023,4,Yes
E100354,2024,5,No
E100355,2017,4,No
E100356,2019,2,No
E100357,2020,3,No
E100358,2019,5,Yes
E100359,2019,3,No
E100359,2020,3,Yes
E100359,2021,4,No
E100359,2022,5,No
E100360,2019,3,No
E100360,2020,3,No
E100361,2021,4,No
E100361,2022,3,No
E100361,2023,5,No
E100362,2021,3,No
E100362,2022,4,No
E100363,2019,3,Yes
E100364,2023,4,Yes
E100364,2024,3,No
E100364,2025,4,No
E100365,2022,4,No
E100365,2023,4,No
E100366,2017,3,No
E100367,2023,4,No
E100367,2024,4,No
E100368,2019,3,No
E100368,2020,2,Yes
E100369,2023,3,Yes
E100369,2024,4,No
E100369,2025,4,No
E100369,2026,4,No
E100370,2022,4,No
E100370,2023,3,No
E100370,2024,2,No
E100371,2021,2,No
E100371,2022,3,No
E100371,2023,3,No
E100372,2022,3,Yes
E100372,2023,4,No
E100373,2023,4,No
E100373,2024,4,No
E100373,2025,4,No
E100373,2026,4,No
E100374,2023,5,Yes
E100374,2024,4,No
E100375,2022,4,No
E100375,2023,4,Yes
E100376,2020,4,Yes
E100376,2021,4,Yes
E100377,2023,3,No
E100377,2024,3,Yes
E100377,2025,4,No
E100377,2026,4,No
E100378,2019,3,No
E100378,2020,3,No
E100379,2022,3,Yes
E100379,2023,4,No
E100380,2017,4,No
E100380,2018,4,No
E100381,2021,5,No
E100381,2022,5,No
E100382,2017,4,No
E100383,2017,4,No
E100383,2018,5,No
E100383,2019,3,No
E100383,2020,2,No
E100384,2020,4,No
E100384,2021,2,No
E100384,2022,3,No
E100384,2023,2,No
E100385,2022,4,No
E100385,2023,3,No
E100386,2022,3,Yes
E100386,2023,3,No
E100386,2024,3,No
E100387,2017,2,No
E100387,2018,3,No
E100387,2019,4,No
E100388,2020,2,Yes
E100388,2021,5,No
E100388,2022,5,No
E100388,2023,5,No
E100389,2023,3,No
E100389,2024,3,No
E100389,2025,3,Yes
E100389,2026,4,No
E100390,2018,2,No
E100390,2019,2,No
E100390,2020,3,No
E100390,2021,3,No
E100391,2018,4,No
E100391,2019,3,No
E100392,2022,2,No
E100393,2018,3,No
E100394,2017,5,No
E100394,2018,5,No
E100394,2019,3,No
E100395,2023,3,No
E100395,2024,3,No
E100395,2025,3,No
E100395,2026,4,No
E100396,2020,2,No
E100396,2021,3,Yes
E100396,2022,4,No
E100396,2023,2,No
E100397,2019,3,No
E100397,2020,4,No
E100397,2021,4,No
E100398,2022,4,No
E100398,2023,4,No
E100398,2024,4,No
E100399,2017,4,No
E100399,2018,2,No
E100399,2019,3,Yes
E100400,2018,3,No
E100400,2019,4,No
E100400,2020,3,No
E100400,2021,4,Yes
E100401,2019,4,Yes
E100402,2018,3,No
E100402,2019,4,No
E100403,2018,2,No
E100403,2019,4,No
E100403,2020,4,No
E100404,2018,4,No
E100404,2019,4,No
E100404,2020,4,Yes
E100405,2022,2,No
E100405,2023,3,Yes
E100405,2024,3,No
E100405,2025,4,No
E100406,2019,5,No
E100406,2020,3,No
E100407,2018,4,No
E100407,2019,3,Yes
E100407,2020,3,No
E100408,2023,4,No
E100409,2022,2,No
E100409,2023,4,Yes
E100410,2021,3,No
E100410,2022,3,No
E100411,2023,3,No
E100411,2024,3,No
E100411,2025,3,No
E100412,2018,3,No
E100412,2019,3,No
E100412,2020,3,Yes
E100412,2021,2,No
E100413,2017,3,No
E100413,2018,3,No
E100414,2019,4,No
E100415,2020,3,No
E100415,2021,4,No
E100415,2022,4,No
E100415,2023,4,Yes
E100416,2019,3,No
E100416,2020,4,No
E100416,2021,3,No
E100417,2018,5,No
E100418,2023,5,No
E100419,2023,3,No
E100419,2024,3,No
E100419,2025,2,No
E100419,2026,3,No
E100420,2020,3,No
E100420,2021,4,No
E100421,2017,4,No
E100421,2018,4,No
E100422,2023,5,No
E100422,2024,3,No
E100423,2021,3,No
E100423,2022,4,No
E100423,2023,2,No
E100423,2024,5,No
E100424,2021,3,No
E100424,2022,4,No
E100424,2023,4,No
E100424,2024,3,No
E100425,2020,3,No
E100426,2017,4,No
E100426,2018,4,No
E100426,2019,5,No
E100426,2020,2,No
E100427,2019,3,Yes
E100427,2020,2,Yes
E100427,2021,4,No
E100427,2022,5,No
E100428,2021,4,No
E100428,2022,4,No
E100429,2023,3,No
E100430,2019,4,No
E100430,2020,4,No
E100431,2022,3,No
E100432,2020,5,No
E100432,2021,3,No
E100433,2017,5,No
E100433,2018,5,No
E100434,2018,5,No
E100434,2019,4,No
E100435,2021,4,Yes
E100435,2022,3,No
E100435,2023,4,No
E100436,2018,2,Yes
E100436,2019,5,Yes
E100437,2018,3,No
E100438,2022,4,No
E100438,2023,3,No
E100439,2017,4,No
E100439,2018,2,No
E100439,2019,5,No
E100439,2020,4,No
E100440,2017,2,No
E100441,2018,5,No
E100441,2019,4,No
E100441,2020,3,No
E100442,2022,4,No
E100442,2023,2,No
E100442,2024,5,No
E100442,2025,4,Yes
E100443,2020,4,No
E100444,2019,2,No
E100444,2020,3,No
E100444,2021,4,No
E100444,2022,2,No
E100445,2023,3,No
E100446,2023,5,No
E100446,2024,3,No
E100447,2018,4,No
E100447,2019,4,No
E100447,2020,3,Yes
E100448,2020,4,No
E100449,2023,3,No
E100449,2024,3,No
E100450,2017,3,No
E100450,2018,2,No
E100451,2019,4,Yes
E100451,2020,3,Yes
E100452,2023,4,Yes
E100453,2023,3,No
E100453,2024,4,No
E100453,2025,3,No
E100453,2026,3,No
E100454,2018,4,No
E100454,2019,4,No
E100455,2022,3,No
E100455,2023,4,No
E100456,2021,5,No
E100457,2023,3,No
E100457,2024,3,No
E100458,2021,3,No
E100458,2022,4,No
E100458,2023,3,No
E100458,2024,2,No
E100459,2018,4,No
E100459,2019,3,No
E100459,2020,4,Yes
E100460,2021,4,No
E100460,2022,3,No
E100461,2017,2,No
E100461,2018,5,No
E100462,2018,4,No
E100462,2019,4,No
E100462,2020,2,No
E100462,2021,3,No
E100463,2019,4,No
E100463,2020,4,No
E100463,2021,3,No
E100463,2022,5,No
E100464,2022,2,No
E100464,2023,3,No
E100464,2024,4,No
E100465,2020,4,No
E100465,2021,3,Yes
E100466,2020,3,No
E100467,2022,4,No
E100467,2023,3,No
E100468,2019,5,Yes
E100468,2020,4,No
E100469,2023,4,Yes
E100469,2024,3,No
E100469,2025,3,No
E100470,2020,2,No
E100471,2017,3,No
E100471,2018,4,No
E100471,2019,4,No
E100472,2022,4,No
E100472,2023,4,No
E100472,2024,3,No
E100472,2025,3,No
E100473,2023,3,No
E100473,2024,3,No
E100474,2022,2,No
E100474,2023,5,No
E100474,2024,3,Yes
E100475,2019,5,No
E100475,2020,4,No
E100476,2019,5,No
E100476,2020,3,No
E100476,2021,5,No
E100476,2022,4,No
E100477,2017,5,No
E100477,2018,3,No
E100478,2022,3,No
E100478,2023,4,No
E100479,2019,5,No
E100479,2020,4,No
E100480,2020,2,No
E100480,2021,4,No
E100480,2022,5,No
E100480,2023,2,No
E100481,2018,2,No
E100482,2019,4,No
E100482,2020,3,No
E100483,2019,5,Yes
E100483,2020,3,Yes
E100483,2021,4,No
E100484,2020,3,No
E100484,2021,3,No
E100485,2017,4,No
E100485,2018,3,Yes
E100485,2019,4,No
E100485,2020,3,No
E100486,2022,3,No
E100487,2021,5,No
E100487,2022,3,No
E100487,2023,3,Yes
