candidate_id,job_role,hire_date,time_to_hire,source,offer_accepted
C30126,Process Manager,2022-01-29,47,Job Portal,Yes
C30127,Data Analyst,2021-03-16,40,Agency,Yes
C30128,Account Manager,2021-03-22,25,Referral,Yes
C30129,Process Manager,2023-03-15,86,Agency,Yes
C30130,Data Analyst,2023-09-18,72,Job Portal,No
C30131,QA Engineer,2022-10-18,70,Job Portal,Yes
C30132,Data Analyst,2022-09-28,87,Referral,Yes
C30133,Sales Executive,2022-12-21,60,Referral,Yes
C30134,Process Manager,2021-03-31,34,Referral,Yes
C30135,Operations Analyst,2021-09-21,72,Job Portal,Yes
C30136,Data Analyst,2021-03-11,43,Referral,No
C30137,Operations Analyst,2023-03-27,66,Referral,Yes
C30138,HR Business Partner,2021-03-09,34,Job Portal,Yes
C30139,Account Manager,2022-10-19,15,Job Portal,Yes
C30140,Financial Analyst,2023-01-06,74,Campus,No
C30141,HR Business Partner,2022-10-14,41,Campus,Yes
C30142,Sales Executive,2023-08-24,47,Job Portal,Yes
C30143,Operations Analyst,2022-06-16,52,Job Portal,No
C30144,QA Engineer,2023-02-16,73,Agency,Yes
C30145,Software Engineer,2023-10-18,83,Job Portal,Yes
C30146,Software Engineer,2023-02-01,37,Referral,Yes
C30147,QA Engineer,2022-06-18,35,Job Portal,Yes
C30148,Sales Executive,2021-03-08,83,Agency,No
C30149,Software Engineer,2021-07-26,49,Campus,No
C30150,Accountant,2022-11-29,65,Referral,Yes
C30151,Accountant,2023-03-18,37,Campus,Yes
C30152,QA Engineer,2022-02-16,24,Campus,Yes
C30153,Data Analyst,2021-11-16,72,Campus,Yes
C30154,Data Analyst,2023-05-08,77,Job Portal,Yes
C30155,Data Analyst,2023-10-25,66,Job Portal,Yes
C30156,QA Engineer,2023-07-13,86,Referral,No
C30157,Software Engineer,2021-07-29,69,Job Portal,Yes
C30158,QA Engineer,2021-02-14,80,Referral,Yes
C30159,Process Manager,2023-02-23,79,Job Portal,Yes
C30160,Sales Executive,2022-11-28,28,Job Portal,Yes
C30161,Data Analyst,2021-11-16,81,Referral,No
C30162,Accountant,2022-03-29,35,Campus,No
C30163,HR Business Partner,2022-12-10,60,Job Portal,Yes
C30164,Accountant,2022-08-29,68,Referral,Yes
C30165,HR Executive,2021-04-07,71,Job Portal,Yes
C30166,HR Executive,2021-12-12,28,Job Portal,Yes
C30167,Account Manager,2021-06-08,49,Referral,Yes
C30168,Process Manager,2023-10-18,24,Campus,No
C30169,Software Engineer,2022-03-25,32,Campus,Yes
C30170,HR Business Partner,2022-01-25,73,Referral,No
C30171,HR Executive,2023-08-09,77,Referral,Yes
C30172,HR Business Partner,2021-05-02,57,Job Portal,Yes
C30173,Financial Analyst,2021-05-19,76,Job Portal,Yes
C30174,Data Analyst,2023-01-24,33,Referral,Yes
C30175,Operations Analyst,2022-12-20,70,Agency,Yes
C30176,Financial Analyst,2021-02-22,72,Job Portal,Yes
C30177,Data Analyst,2022-05-03,46,Job Portal,Yes
C30178,Process Manager,2023-02-17,36,Job Portal,Yes
C30179,HR Executive,2021-07-15,27,Job Portal,No
C30180,Operations Analyst,2021-05-23,48,Campus,Yes
C30181,Process Manager,2021-04-29,56,Referral,Yes
C30182,HR Executive,2021-12-22,48,Job Portal,Yes
C30183,Accountant,2022-12-05,79,Referral,Yes
C30184,Accountant,2021-11-28,27,Job Portal,Yes
C30185,Account Manager,2022-11-23,88,Job Portal,Yes
C30186,Software Engineer,2022-10-20,79,Referral,Yes
C30187,Process Manager,2021-04-14,25,Campus,Yes
C30188,Data Analyst,2022-09-10,72,Job Portal,Yes
C30189,Financial Analyst,2023-03-28,22,Job Portal,Yes
C30190,Financial Analyst,2021-05-14,83,Referral,Yes
C30191,Software Engineer,2021-10-16,76,Agency,Yes
C30192,Account Manager,2021-10-16,80,Job Portal,No
C30193,QA Engineer,2022-08-20,76,Campus,No
C30194,QA Engineer,2023-09-13,42,Referral,Yes
C30195,QA Engineer,2022-01-27,71,Campus,Yes
C30196,Account Manager,2022-03-07,44,Job Portal,Yes
C30197,Sales Executive,2021-03-07,54,Agency,Yes
C30198,QA Engineer,2021-06-13,70,Referral,Yes
C30199,Financial Analyst,2021-07-16,53,Referral,No
C30200,Software Engineer,2021-07-21,34,Job Portal,Yes
C30201,Financial Analyst,2021-05-28,36,Campus,Yes
C30202,Software Engineer,2023-02-17,37,Referral,Yes
C30203,Account Manager,2021-05-22,58,Job Portal,Yes
C30204,Operations Analyst,2022-09-17,62,Job Portal,Yes
C30205,Sales Executive,2021-08-18,71,Job Portal,Yes
C30206,Accountant,2021-02-18,66,Job Portal,Yes
C30207,QA Engineer,2022-05-03,43,Referral,Yes
C30208,HR Executive,2021-03-30,34,Campus,Yes
C30209,HR Executive,2021-12-05,30,Job Portal,No
C30210,Software Engineer,2023-05-29,15,Job Portal,No
C30211,QA Engineer,2022-06-24,32,Campus,Yes
C30212,HR Business Partner,2022-09-13,76,Job Portal,Yes
C30213,Operations Analyst,2021-11-02,35,Job Portal,No
C30214,Process Manager,2023-02-15,48,Job Portal,No
C30215,HR Business Partner,2022-03-25,62,Campus,Yes
C30216,HR Business Partner,2022-03-11,27,Referral,No
C30217,QA Engineer,2023-09-16,82,Job Portal,Yes
C30218,QA Engineer,2022-09-24,56,Referral,Yes
C30219,HR Business Partner,2021-02-09,28,Referral,Yes
C30220,Account Manager,2022-12-10,61,Job Portal,Yes
C30221,Operations Analyst,2021-12-29,43,Referral,Yes
C30222,Account Manager,2022-11-26,86,Referral,Yes
C30223,QA Engineer,2021-04-04,78,Referral,Yes
C30224,Accountant,2023-09-09,25,Referral,No
C30225,Sales Executive,2021-09-25,89,Agency,Yes
C30226,Sales Executive,2023-09-02,44,Job Portal,Yes
C30227,Sales Executive,2023-03-18,63,Referral,No
C30228,Accountant,2022-12-26,40,Referral,Yes
C30229,HR Business Partner,2021-10-18,30,Job Portal,Yes
C30230,HR Executive,2023-07-26,87,Referral,No
C30231,QA Engineer,2022-06-25,70,Campus,No
C30232,Operations Analyst,2021-03-21,19,Job Portal,No
C30233,Software Engineer,2021-10-06,76,Referral,Yes
C30234,HR Executive,2022-04-05,82,Job Portal,No
C30235,Operations Analyst,2021-08-18,86,Job Portal,Yes
C30236,Process Manager,2021-08-08,67,Referral,Yes
C30237,Operations Analyst,2023-10-03,63,Job Portal,Yes
C30238,HR Executive,2023-03-06,41,Referral,Yes
C30239,Account Manager,2023-05-01,57,Referral,Yes
C30240,Accountant,2023-08-20,15,Referral,Yes
C30241,Accountant,2023-05-24,43,Referral,Yes
C30242,Account Manager,2022-08-03,19,Referral,Yes
C30243,Account Manager,2021-07-09,30,Referral,Yes
C30244,HR Executive,2021-06-28,27,Job Portal,No
C30245,Financial Analyst,2021-09-16,51,Referral,Yes
C30246,Process Manager,2023-02-28,19,Job Portal,Yes
C30247,Sales Executive,2022-11-15,31,Job Portal,Yes
C30248,Software Engineer,2022-01-13,27,Job Portal,Yes
C30249,Sales Executive,2022-08-07,30,Job Portal,Yes
C30250,Process Manager,2021-12-20,34,Job Portal,Yes
C30251,HR Business Partner,2021-10-21,83,Referral,Yes
C30252,Sales Executive,2023-01-20,88,Job Portal,Yes
C30253,Accountant,2022-12-08,75,Campus,Yes
C30254,Accountant,2021-06-15,26,Job Portal,Yes
C30255,Financial Analyst,2021-03-01,69,Referral,No
C30256,Account Manager,2022-12-21,36,Referral,Yes
C30257,HR Business Partner,2023-04-25,52,Referral,No
C30258,QA Engineer,2022-10-29,87,Referral,Yes
C30259,Financial Analyst,2021-06-02,80,Job Portal,No
C30260,Accountant,2023-03-16,24,Referral,Yes
C30261,Financial Analyst,2022-06-29,59,Job Portal,Yes
C30262,HR Business Partner,2021-02-19,41,Job Portal,Yes
C30263,Accountant,2023-03-31,42,Agency,Yes
C30264,QA Engineer,2022-07-20,60,Referral,Yes
C30265,Sales Executive,2023-01-02,70,Referral,No
C30266,HR Executive,2021-07-20,65,Job Portal,Yes
C30267,Sales Executive,2023-08-09,71,Job Portal,Yes
C30268,QA Engineer,2021-04-18,37,Campus,No
C30269,HR Executive,2021-09-02,47,Referral,Yes
C30270,Operations Analyst,2023-09-16,72,Job Portal,Yes
C30271,Financial Analyst,2021-05-17,70,Job Portal,No
C30272,HR Business Partner,2023-07-22,33,Job Portal,Yes
C30273,HR Business Partner,2022-03-15,21,Agency,No
C30274,Software Engineer,2022-08-14,73,Referral,Yes
C30275,Financial Analyst,2023-03-17,57,Campus,Yes
C30276,Operations Analyst,2023-03-22,73,Job Portal,No
C30277,Financial Analyst,2023-07-06,49,Job Portal,Yes
C30278,QA Engineer,2022-08-29,79,Agency,Yes
C30279,Data Analyst,2022-07-07,72,Campus,Yes
C30280,Account Manager,2022-10-03,56,Campus,No
C30281,HR Business Partner,2021-06-24,54,Campus,Yes
C30282,Process Manager,2021-09-13,24,Agency,Yes
C30283,Financial Analyst,2022-06-20,70,Job Portal,Yes
C30284,HR Business Partner,2022-11-01,73,Referral,Yes
C30285,Accountant,2021-09-30,77,Job Portal,Yes
C30286,Software Engineer,2022-07-22,65,Referral,Yes
C30287,Software Engineer,2021-03-16,76,Referral,Yes
C30288,Account Manager,2022-02-05,56,Referral,Yes
C30289,Operations Analyst,2023-07-20,19,Campus,Yes
C30290,QA Engineer,2022-06-03,51,Referral,Yes
C30291,Operations Analyst,2022-05-02,72,Job Portal,No
C30292,Accountant,2021-07-14,69,Campus,Yes
C30293,Process Manager,2023-08-25,55,Job Portal,Yes
C30294,Sales Executive,2022-10-09,68,Job Portal,Yes
C30295,Sales Executive,2023-09-26,56,Referral,Yes
C30296,Operations Analyst,2023-03-23,69,Job Portal,Yes
C30297,Accountant,2023-08-13,23,Referral,Yes
C30298,Data Analyst,2023-02-13,28,Job Portal,No
C30299,QA Engineer,2023-05-30,73,Job Portal,Yes
C30300,Software Engineer,2021-09-10,26,Job Portal,Yes
C30301,Account Manager,2021-06-20,18,Job Portal,No
C30302,Financial Analyst,2022-12-07,78,Referral,Yes
C30303,Data Analyst,2023-07-24,80,Job Portal,Yes
C30304,Financial Analyst,2022-03-18,85,Agency,Yes
C30305,Financial Analyst,2021-05-13,78,Campus,Yes
C30306,Operations Analyst,2022-04-23,56,Job Portal,Yes
C30307,Financial Analyst,2021-12-25,34,Campus,Yes
C30308,Sales Executive,2023-09-15,22,Agency,Yes
C30309,Operations Analyst,2021-04-14,49,Job Portal,Yes
C30310,Process Manager,2021-12-25,51,Campus,Yes
C30311,Data Analyst,2022-11-23,30,Campus,Yes
C30312,Software Engineer,2022-08-13,67,Agency,Yes
C30313,Process Manager,2023-02-18,50,Job Portal,Yes
C30314,HR Business Partner,2021-12-29,17,Referral,Yes
C30315,Financial Analyst,2022-07-28,84,Job Portal,Yes
C30316,Software Engineer,2021-11-27,23,Job Portal,No
C30317,Data Analyst,2022-05-20,41,Referral,Yes
C30318,Data Analyst,2022-12-29,28,Agency,Yes
C30319,Data Analyst,2023-05-05,83,Job Portal,Yes
C30320,Account Manager,2022-02-08,19,Agency,Yes
C30321,Account Manager,2022-11-18,61,Job Portal,Yes
C30322,Process Manager,2022-01-07,80,Referral,Yes
C30323,QA Engineer,2023-08-26,39,Referral,Yes
C30324,Data Analyst,2022-07-02,43,Job Portal,Yes
C30325,Account Manager,2022-09-30,49,Referral,No
C30326,Accountant,2023-09-14,87,Job Portal,Yes
C30327,Software Engineer,2021-06-15,84,Referral,Yes
C30328,Account Manager,2021-03-06,81,Referral,Yes
C30329,Account Manager,2022-09-11,52,Job Portal,Yes
C30330,Sales Executive,2023-02-12,85,Job Portal,No
C30331,Account Manager,2022-12-24,78,Agency,Yes
C30332,QA Engineer,2023-02-19,47,Campus,Yes
C30333,Account Manager,2022-08-04,50,Job Portal,Yes
C30334,HR Executive,2021-07-02,33,Referral,Yes
C30335,Data Analyst,2023-06-29,77,Agency,Yes
C30336,Data Analyst,2021-06-05,66,Campus,No
C30337,Sales Executive,2022-12-10,58,Agency,Yes
C30338,Financial Analyst,2022-10-01,73,Job Portal,No
C30339,Financial Analyst,2022-02-08,35,Referral,No
C30340,HR Executive,2023-07-12,19,Referral,Yes
C30341,HR Business Partner,2021-08-27,70,Referral,No
C30342,Account Manager,2022-07-02,45,Job Portal,Yes
C30343,HR Executive,2023-03-01,19,Referral,Yes
C30344,Financial Analyst,2023-06-28,69,Job Portal,No
C30345,Data Analyst,2021-10-21,35,Agency,Yes
C30346,Software Engineer,2022-12-11,89,Campus,Yes
C30347,Account Manager,2021-05-22,37,Referral,Yes
C30348,HR Executive,2021-09-03,44,Referral,No
C30349,Sales Executive,2022-12-20,42,Job Portal,Yes
C30350,Operations Analyst,2021-10-24,38,Job Portal,Yes
C30351,Data Analyst,2022-07-19,41,Campus,Yes
C30352,Sales Executive,2022-05-05,72,Referral,No
C30353,Operations Analyst,2023-05-11,43,Referral,No
C30354,HR Executive,2022-04-23,24,Referral,Yes
C30355,QA Engineer,2021-04-11,19,Campus,Yes
C30356,QA Engineer,2022-07-18,35,Campus,Yes
C30357,Account Manager,2021-08-19,41,Job Portal,Yes
C30358,QA Engineer,2022-12-09,28,Campus,Yes
C30359,Accountant,2021-03-13,84,Job Portal,Yes
C30360,Accountant,2023-10-16,87,Agency,Yes
C30361,Account Manager,2022-02-28,25,Referral,No
C30362,Account Manager,2021-08-28,30,Referral,Yes
C30363,Sales Executive,2021-10-30,87,Referral,Yes
C30364,Data Analyst,2023-06-27,68,Job Portal,Yes
C30365,HR Executive,2022-11-04,64,Referral,Yes
C30366,Data Analyst,2022-03-27,72,Referral,No
C30367,QA Engineer,2021-08-07,54,Job Portal,Yes
C30368,Operations Analyst,2023-10-21,84,Referral,Yes
C30369,Financial Analyst,2022-10-01,18,Campus,Yes
C30370,Accountant,2022-11-01,65,Campus,No
C30371,Financial Analyst,2023-10-07,46,Agency,Yes
C30372,Software Engineer,2023-01-19,39,Campus,Yes
C30373,Accountant,2022-08-02,77,Referral,Yes
C30374,Software Engineer,2022-06-13,70,Referral,Yes
C30375,HR Business Partner,2021-03-22,50,Job Portal,No
C30376,Accountant,2023-08-22,39,Agency,No
C30377,Account Manager,2023-06-02,69,Job Portal,Yes
C30378,Financial Analyst,2021-07-21,83,Campus,Yes
C30379,Process Manager,2022-03-25,41,Agency,Yes
C30380,Software Engineer,2022-10-27,83,Referral,No
C30381,QA Engineer,2023-07-09,36,Job Portal,Yes
C30382,HR Business Partner,2021-05-13,81,Referral,Yes
C30383,Financial Analyst,2021-11-16,89,Referral,Yes
C30384,Software Engineer,2022-02-20,66,Job Portal,Yes
C30385,Accountant,2021-02-09,60,Agency,No
C30386,HR Business Partner,2022-10-17,80,Referral,Yes
C30387,Data Analyst,2022-07-20,60,Referral,Yes
C30388,QA Engineer,2023-02-11,43,Referral,Yes
C30389,HR Business Partner,2022-09-17,20,Job Portal,Yes
C30390,Data Analyst,2023-01-01,69,Job Portal,Yes
C30391,Operations Analyst,2022-07-07,74,Campus,Yes
C30392,Process Manager,2022-07-08,20,Job Portal,No
C30393,Sales Executive,2021-05-02,58,Referral,Yes
C30394,Software Engineer,2021-08-20,79,Job Portal,No
C30395,Accountant,2022-07-20,65,Job Portal,No
C30396,Financial Analyst,2023-04-17,87,Job Portal,Yes
C30397,Process Manager,2021-09-03,43,Job Portal,No
C30398,Process Manager,2022-03-28,77,Job Portal,Yes
C30399,Process Manager,2021-11-27,29,Job Portal,No
C30400,Data Analyst,2023-01-11,30,Job Portal,Yes
C30401,HR Business Partner,2022-08-02,28,Job Portal,No
C30402,QA Engineer,2023-11-03,85,Referral,No
C30403,Operations Analyst,2023-07-28,47,Job Portal,Yes
C30404,Sales Executive,2022-05-21,70,Referral,No
C30405,QA Engineer,2021-05-26,88,Job Portal,Yes
C30406,Financial Analyst,2023-05-11,68,Referral,Yes
C30407,Sales Executive,2023-05-09,33,Campus,Yes
C30408,Operations Analyst,2022-11-02,57,Referral,Yes
C30409,Financial Analyst,2022-11-19,79,Referral,No
C30410,Accountant,2023-10-24,26,Referral,Yes
C30411,Sales Executive,2022-08-21,74,Job Portal,No
C30412,Operations Analyst,2021-05-03,19,Job Portal,Yes
C30413,Process Manager,2021-02-19,65,Job Portal,Yes
C30414,QA Engineer,2022-03-18,15,Campus,Yes
C30415,Accountant,2022-04-06,34,Agency,Yes
C30416,Sales Executive,2021-09-03,31,Campus,Yes
C30417,Process Manager,2022-05-04,67,Agency,Yes
C30418,Operations Analyst,2021-02-12,33,Job Portal,No
C30419,Sales Executive,2022-09-05,56,Job Portal,No
C30420,Software Engineer,2022-04-10,25,Referral,No
C30421,QA Engineer,2021-07-01,17,Referral,Yes
C30422,Operations Analyst,2021-02-23,54,Job Portal,Yes
C30423,Data Analyst,2021-06-19,17,Referral,Yes
C30424,Sales Executive,2022-06-07,16,Referral,Yes
C30425,QA Engineer,2023-08-01,34,Campus,Yes
C30426,Operations Analyst,2023-08-18,71,Campus,Yes
C30427,QA Engineer,2021-11-17,37,Job Portal,No
C30428,Sales Executive,2023-04-27,71,Job Portal,Yes
C30429,QA Engineer,2023-09-30,69,Job Portal,No
C30430,Data Analyst,2022-12-16,67,Referral,No
C30431,Account Manager,2023-09-09,46,Campus,Yes
C30432,Sales Executive,2023-10-22,69,Referral,Yes
C30433,Account Manager,2021-12-11,57,Referral,No
C30434,HR Executive,2021-10-24,57,Referral,Yes
C30435,Software Engineer,2021-05-05,27,Referral,Yes
C30436,Account Manager,2021-09-19,37,Referral,Yes
C30437,Accountant,2022-04-07,56,Agency,Yes
C30438,Process Manager,2021-12-07,40,Job Portal,No
C30439,Data Analyst,2023-01-03,22,Referral,Yes
C30440,QA Engineer,2022-06-24,20,Referral,Yes
C30441,HR Business Partner,2023-02-01,37,Job Portal,Yes
C30442,Financial Analyst,2022-02-20,76,Job Portal,Yes
C30443,Sales Executive,2022-02-05,87,Campus,No
C30444,Data Analyst,2022-07-30,15,Job Portal,No
C30445,Sales Executive,2021-07-19,63,Referral,Yes
C30446,HR Executive,2021-11-03,75,Job Portal,Yes
C30447,Data Analyst,2022-03-07,20,Job Portal,Yes
C30448,HR Executive,2022-04-10,79,Referral,Yes
C30449,Account Manager,2023-08-12,22,Job Portal,No
C30450,Financial Analyst,2021-02-24,27,Campus,Yes
C30451,HR Business Partner,2022-01-13,41,Job Portal,Yes
C30452,Account Manager,2022-11-26,60,Campus,No
C30453,Software Engineer,2022-03-15,25,Job Portal,No
C30454,Operations Analyst,2022-01-12,32,Agency,Yes
C30455,Accountant,2022-02-06,78,Referral,Yes
C30456,Data Analyst,2022-01-30,66,Referral,Yes
C30457,HR Business Partner,2021-04-20,42,Job Portal,Yes
C30458,Accountant,2023-04-04,24,Job Portal,No
C30459,Operations Analyst,2021-06-27,59,Referral,Yes
C30460,Process Manager,2022-11-04,69,Referral,No
C30461,Process Manager,2023-05-27,56,Referral,No
C30462,Software Engineer,2023-05-23,74,Job Portal,Yes
C30463,HR Executive,2021-08-05,35,Referral,Yes
C30464,Financial Analyst,2022-07-10,77,Referral,Yes
C30465,HR Executive,2022-11-10,43,Referral,Yes
C30466,Financial Analyst,2021-07-16,75,Agency,Yes
C30467,Software Engineer,2023-08-28,60,Job Portal,Yes
C30468,Operations Analyst,2022-08-05,78,Campus,Yes
C30469,Process Manager,2023-10-17,69,Referral,Yes
C30470,Software Engineer,2021-08-08,65,Job Portal,Yes
C30471,Account Manager,2023-07-19,32,Job Portal,No
C30472,Account Manager,2022-12-06,57,Agency,Yes
C30473,Sales Executive,2022-07-16,76,Campus,No
C30474,Software Engineer,2023-02-20,26,Job Portal,Yes
C30475,Process Manager,2022-10-08,33,Referral,Yes
C30476,Sales Executive,2023-10-16,80,Job Portal,No
C30477,HR Business Partner,2023-09-16,73,Job Portal,No
C30478,Process Manager,2022-08-20,77,Job Portal,Yes
C30479,QA Engineer,2022-10-13,55,Referral,No
C30480,QA Engineer,2022-05-08,84,Job Portal,Yes
C30481,Software Engineer,2023-03-13,81,Campus,Yes
C30482,Financial Analyst,2021-03-20,38,Agency,Yes
C30483,HR Business Partner,2021-12-24,33,Referral,Yes
C30484,Software Engineer,2023-07-26,86,Job Portal,Yes
C30485,Sales Executive,2023-07-30,78,Referral,No
C30486,Operations Analyst,2023-03-08,38,Job Portal,Yes
C30487,Process Manager,2022-10-01,61,Campus,Yes
C30488,Accountant,2023-06-06,64,Campus,Yes
C30489,Financial Analyst,2021-10-05,45,Job Portal,Yes
C30490,Process Manager,2023-07-14,46,Referral,Yes
C30491,Account Manager,2022-07-17,31,Job Portal,Yes
C30492,Sales Executive,2023-05-07,84,Agency,Yes
C30493,Account Manager,2021-12-18,42,Campus,Yes
C30494,Account Manager,2023-02-16,54,Agency,Yes
