employee_id,salary,bonus,salary_band,last_hike_date
E100408,1104520,111137,L3,2025-01-17
E100409,995695,114534,L3,2024-04-11
E100410,2116271,292590,L5,2022-10-31
E100411,1093170,115883,L3,2024-09-18
E100412,769095,81814,L2,2021-03-13
E100413,600911,35918,L2,2018-03-21
E100414,1105135,134269,L3,2022-02-15
E100415,1133708,142098,L3,2023-02-02
E100416,509154,67647,L1,2020-03-28
E100417,1522744,119532,L4,2019-12-21
E100418,1044322,151576,L3,2024-10-16
E100419,909571,129888,L3,2024-11-05
E100420,1209850,75676,L4,2023-12-23
E100421,1298357,191831,L4,2020-06-19
E100422,465464,30761,L1,2024-08-09
E100423,811657,89507,L2,2024-05-18
E100424,1457390,130388,L4,2024-11-17
E100425,549674,54385,L1,2022-05-23
E100426,734795,50847,L2,2019-05-14
E100427,863352,66051,L2,2021-07-05
E100428,967203,99375,L3,2023-03-21
E100429,1011212,76958,L3,2025-06-29
E100430,656858,80117,L2,2021-02-15
E100431,498669,32058,L1,2023-10-11
E100432,833018,88310,L2,2021-11-18
E100433,548057,57741,L1,2019-02-01
E100434,592858,69015,L1,2021-05-30
E100435,1115100,128178,L3,2023-06-16
E100436,831457,42392,L2,2020-02-10
E100437,602075,59639,L2,2021-04-23
E100438,1357470,183724,L4,2023-11-25
E100439,1940510,110475,L5,2018-06-05
E100440,821865,44035,L2,2019-03-18
E100441,580587,70274,L1,2020-09-25
E100442,1880998,144791,L5,2025-11-04
E100443,1111437,76995,L3,2023-02-22
E100444,695543,91902,L2,2020-10-07
E100445,645181,39076,L2,2024-10-19
E100446,1332876,99221,L4,2024-10-16
E100447,1080247,64123,L3,2019-12-17
E100448,461954,24401,L1,2023-04-21
E100449,931658,121325,L3,2026-06-12
E100450,1179149,137011,L3,2020-04-16
E100451,1129266,149330,L3,2021-02-12
E100452,633974,37806,L2,2024-06-13
E100453,710253,96702,L2,2025-01-04
E100454,426057,36801,L1,2021-11-17
E100455,1552034,79191,L4,2024-10-08
E100456,1347818,162597,L4,2022-10-28
E100457,509861,29223,L1,2026-07-08
E100458,717439,105906,L2,2024-03-23
E100459,1137430,100477,L3,2020-05-18
E100460,1175894,158981,L3,2024-02-11
E100461,759624,90477,L2,2020-02-20
E100462,457858,63854,L1,2020-04-27
E100463,400343,58575,L1,2020-10-16
E100464,806952,118094,L2,2024-04-10
E100465,605783,66859,L2,2021-12-06
E100466,808022,90867,L2,2022-03-30
E100467,1487347,169698,L4,2024-04-27
E100468,477089,59208,L1,2021-08-26
E100469,683082,86217,L2,2025-04-09
E100470,1114997,79668,L3,2023-05-05
E100471,535381,73619,L1,2018-08-30
E100472,403871,49849,L1,2024-12-27
E100473,2199819,291497,L5,2026-12-18
E100474,691294,57305,L2,2025-02-03
E100475,524372,29160,L1,2020-11-15
E100476,866678,107557,L2,2021-10-22
E100477,562938,62869,L1,2018-09-04
E100478,1485096,168760,L4,2024-04-13
E100479,1268402,64013,L4,2022-05-01
E100480,716805,77763,L2,2022-01-23
E100481,478738,44407,L1,2019-10-30
E100482,750015,67874,L2,2020-11-27
E100483,1482669,189463,L4,2022-10-10
E100484,624255,70508,L2,2022-08-27
E100485,1255982,108100,L4,2018-11-22
E100486,1246716,94627,L4,2025-03-14
E100487,601591,76928,L2,2024-07-06
E100488,656713,40725,L2,2024-10-11
E100489,1718198,102008,L5,2022-08-11
E100490,697101,75924,L2,2019-10-21
E100491,1901601,242525,L5,2020-09-03
E100492,1564305,224247,L4,2025-07-21
E100493,507821,26364,L1,2023-01-10
E100494,886031,109748,L2,2024-05-05
E100495,898013,110310,L2,2019-06-19
E100496,471220,38489,L1,2023-02-09
E100497,827601,59490,L2,2022-07-21
E100498,474240,66041,L1,2021-06-15
E100499,853369,115459,L2,2019-08-13
E100500,420392,42481,L1,2022-02-01
E100501,1446413,83833,L4,2024-04-13
E100502,1650812,154461,L5,2021-10-19
E100503,1931778,177741,L5,2020-10-23
E100504,1391965,72822,L4,2019-06-10
E100505,557066,55245,L1,2022-10-22
E100506,414945,27202,L1,2020-01-25
E100507,421275,47375,L1,2025-07-02
E100508,1879837,199853,L5,2019-12-26
E100509,418578,56797,L1,2021-01-31
E100510,777500,52357,L2,2021-11-07
E100511,1913777,276336,L5,2021-07-20
E100512,498813,45419,L1,2020-07-10
E100513,1757110,251609,L5,2023-05-30
E100514,837382,110202,L2,2021-10-24
E100515,1159526,119844,L3,2019-11-01
E100516,1061244,66613,L3,2021-10-15
E100517,711963,92441,L2,2020-01-08
E100518,969498,63850,L3,2019-06-02
E100519,1103491,161379,L3,2020-06-13
E100520,526229,33136,L1,2022-07-28
E100521,1169121,69778,L3,2022-01-30
E100522,612935,51188,L2,2024-08-02
E100523,1016803,66214,L3,2021-07-27
E100524,499133,54327,L1,2022-04-04
E100525,926758,92604,L3,2020-09-24
E100526,966322,129654,L3,2019-11-28
E100527,961610,78777,L3,2025-02-02
E100528,651220,46157,L2,2026-10-21
E100529,798418,93632,L2,2020-12-29
E100530,1074862,91441,L3,2024-06-23
E100531,437645,43764,L1,2022-01-28
E100532,1399260,161928,L4,2026-03-26
E100533,589782,56169,L1,2022-02-17
E100534,497251,55312,L1,2021-01-28
E100535,838435,110918,L2,2024-07-11
E100536,634024,51918,L2,2025-04-14
E100537,1227961,110529,L4,2023-12-01
E100538,706420,60311,L2,2018-10-26
E100539,502146,62627,L1,2021-11-07
E100540,1032120,88463,L3,2024-11-29
E100541,979619,103050,L3,2019-09-01
E100542,1395556,131079,L4,2020-05-10
E100543,1306420,100210,L4,2021-06-28
E100544,2088088,307432,L5,2024-06-15
E100545,802540,86554,L2,2021-02-16
E100546,532983,57451,L1,2020-10-30
E100547,782394,52347,L2,2023-08-31
E100548,1105061,69383,L3,2025-09-02
E100549,562818,32838,L1,2019-06-05
E100550,472158,46748,L1,2023-09-22
E100551,912487,122754,L3,2018-10-17
E100552,824108,85141,L2,2021-11-12
E100553,588826,64879,L1,2022-01-17
E100554,703183,90320,L2,2024-10-06
E100555,429812,25047,L1,2018-11-30
E100556,787837,57473,L2,2025-08-27
E100557,659681,83918,L2,2026-07-24
E100558,448366,34392,L1,2019-06-11
E100559,574357,29877,L1,2022-08-30
E100560,455090,26983,L1,2023-07-25
E100561,531319,72311,L1,2020-08-30
E100562,502384,26384,L1,2023-01-30
E100563,1181497,110519,L3,2019-07-18
E100564,606320,76519,L2,2019-11-01
E100565,745770,65990,L2,2024-03-03
E100566,989627,105634,L3,2024-07-22
E100567,597612,82883,L1,2019-12-17
E100568,579611,42933,L1,2025-06-20
E100569,1143136,128310,L3,2018-08-25
E100570,771824,102120,L2,2019-11-19
E100571,655817,75622,L2,2020-01-30
E100572,408458,53072,L1,2023-10-07
E100573,697944,69663,L2,2020-09-21
E100574,551876,62993,L1,2019-06-23
E100575,1118858,133512,L3,2021-05-11
E100576,765654,107446,L2,2020-07-12
E100577,866380,53693,L2,2019-10-13
E100578,791205,90220,L2,2022-01-20
E100579,765048,110237,L2,2023-08-12
E100580,901906,50803,L3,2024-04-13
E100581,831515,57401,L2,2021-08-21
E100582,1471990,205779,L4,2025-01-21
E100583,853188,56170,L2,2025-07-21
E100584,440293,42642,L1,2025-10-28
E100585,1738290,122551,L5,2025-07-12
E100586,1004793,84837,L3,2022-01-31
E100587,1135498,82851,L3,2023-04-18
E100588,875221,95384,L2,2020-08-22
E100589,611782,65684,L2,2025-05-29
E100590,1491596,79709,L4,2024-03-10
E100591,1069319,115652,L3,2021-12-12
E100592,1556277,100187,L4,2022-03-22
E100593,499743,39893,L1,2021-03-29
E100594,1109231,77153,L3,2021-08-12
E100595,1650687,193939,L5,2024-04-06
E100596,524724,60286,L1,2022-03-26
E100597,832959,83260,L2,2023-12-07
E100598,868759,65976,L2,2022-06-24
E100599,474567,48644,L1,2021-07-23
E100600,1854336,141581,L5,2022-05-19
E100601,1168695,101516,L3,2023-01-01
E100602,1159107,172481,L3,2024-03-19
E100603,553113,48319,L1,2023-10-01
E100604,409472,30602,L1,2019-03-13
E100605,866003,97921,L2,2019-08-19
E100606,791484,95151,L2,2024-04-04
E100607,639066,80157,L2,2025-06-16
E100608,886706,105848,L2,2022-02-17
E100609,837859,123669,L2,2020-06-15
E100610,478936,68800,L1,2018-10-03
E100611,491282,37593,L1,2024-09-19
E100612,483055,58699,L1,2023-05-09
E100613,1185722,150160,L3,2020-03-11
E100614,771935,101430,L2,2024-06-24
E100615,1117617,60759,L3,2025-06-16
E100616,805029,116380,L2,2021-07-15
E100617,745103,60925,L2,2019-06-27
E100618,1345702,158023,L4,2022-10-24
E100619,1142751,130642,L3,2025-07-23
E100620,615606,84644,L2,2019-12-21
E100621,725242,55017,L2,2024-10-19
E100622,472333,66481,L1,2024-07-21
E100623,1562634,205651,L4,2023-05-25
E100624,1169277,108819,L3,2025-02-06
E100625,482583,37832,L1,2021-09-09
E100626,574168,46773,L1,2026-01-19
E100627,450342,63362,L1,2024-03-30
E100628,929739,74933,L3,2022-04-24
E100629,1032839,69732,L3,2026-01-02
E100630,713248,100011,L2,2019-10-04
E100631,1274256,133276,L4,2022-09-07
E100632,983564,130681,L3,2024-05-05
E100633,654702,82275,L2,2020-12-27
E100634,873359,82040,L2,2023-05-15
E100635,519562,74488,L1,2020-10-19
E100636,474406,42276,L1,2021-11-20
E100637,697240,74369,L2,2021-12-26
E100638,446047,37607,L1,2021-07-30
E100639,1120869,114878,L3,2025-02-14
E100640,1321129,118155,L4,2020-05-21
E100641,929201,124863,L3,2024-08-05
E100642,1146528,90823,L3,2024-09-16
E100643,1013773,95191,L3,2021-01-12
E100644,955913,134596,L3,2024-07-18
E100645,997183,69367,L3,2018-10-25
E100646,1194624,159614,L3,2023-08-12
E100647,466330,23735,L1,2019-10-28
E100648,525031,71784,L1,2024-09-19
E100649,1103743,93280,L3,2022-03-16
E100650,1055387,119204,L3,2024-12-04
E100651,783705,101576,L2,2022-11-07
E100652,1043148,96041,L3,2026-03-17
E100653,563002,49832,L1,2021-06-19
E100654,775518,91238,L2,2023-06-15
E100655,1621946,239668,L5,2023-08-13
E100656,888386,127436,L2,2021-06-13
E100657,1692828,212372,L5,2024-02-13
E100658,1491473,187744,L4,2024-03-17
E100659,986681,146215,L3,2024-05-07
E100660,401464,30679,L1,2021-05-22
E100661,2016107,112269,L5,2024-02-09
E100662,765439,94234,L2,2025-08-17
E100663,1227288,75337,L4,2020-02-05
E100664,686977,59916,L2,2025-08-08
E100665,536422,50381,L1,2026-06-26
E100666,568588,34372,L1,2020-06-22
E100667,1156306,99471,L3,2019-07-30
E100668,1045262,64745,L3,2020-05-31
E100669,776911,89274,L2,2020-04-20
E100670,555308,63488,L1,2019-06-20
E100671,993577,84767,L3,2021-05-11
E100672,1191580,176810,L3,2022-07-09
E100673,662891,81616,L2,2019-12-13
E100674,877821,63771,L2,2025-02-07
E100675,582174,53219,L1,2025-11-09
E100676,880595,104914,L2,2019-03-01
E100677,774146,46780,L2,2018-10-05
E100678,1746384,143973,L5,2026-06-09
E100679,1047131,98303,L3,2021-05-14
E100680,667849,79010,L2,2020-11-02
E100681,1074336,131228,L3,2020-05-15
E100682,478860,53263,L1,2021-11-21
E100683,789655,61154,L2,2022-02-15
E100684,657115,92437,L2,2023-01-03
E100685,412409,29020,L1,2022-05-07
